metric,value
Tax Effect Of Unusual Items,-72542383.86833
Tax Rate For Calcs,0.249874
Total Unusual Items,-290316000.0
Total Unusual Items Excluding Goodwill,-290316000.0
Net Income From Continuing Operation Net Minority Interest,556481728000.0
Reconciled Depreciation,36955986000.0
Net Interest Income,1608637634000.0
Interest Expense,1899808167000.0
Interest Income,3508445801000.0
Normalized Income,556699501616.1317
Net Income From Continuing And Discontinued Operation,556481728000.0
Diluted Average Shares,8924611707.0
Basic Average Shares,8924611707.0
Diluted EPS,62.35
Basic EPS,62.35
Diluted NI Availto Com Stockholders,556481728000.0
Net Income Common Stockholders,556481728000.0
Net Income,556481728000.0
Minority Interests,-21017092000.0
Net Income Including Noncontrolling Interests,577498807000.0
Net Income Extraordinary,0.0
Net Income Continuous Operations,577498807000.0
Tax Provision,188401300000.0
Pretax Income,753985586000.0
Special Income Charges,-290316000.0
Other Special Charges,290316000.0
Gain On Sale Of Security,2354761000.0
Operating Expense,1861696085000.0
Other Operating Expenses,1048756338000.0
Depreciation And Amortization In Income Statement,36955986000.0
Depreciation Income Statement,36955986000.0
Selling General And Administration,42205328000.0
Selling And Marketing Expense,34192691000.0
General And Administrative Expense,8012637000.0
Insurance And Claims,53406901000.0
Rent And Landing Fees,61030583000.0
Total Revenue,2703369068000.0
Operating Revenue,2703369068000.0
