metric,value
Free Cash Flow,1471400000.0
Repayment Of Debt,-16814900000.0
Issuance Of Debt,7192700000.0
Capital Expenditure,-32003500000.0
End Cash Position,2339200000.0
Beginning Cash Position,143500000.0
Effect Of Exchange Rate Changes,5900000.0
Changes In Cash,2189800000.0
Financing Cash Flow,-17100500000.0
Net Other Financing Charges,-1900000.0
Interest Paid Cff,-2197100000.0
Cash Dividends Paid,-3790300000.0
Net Issuance Payments Of Debt,-9622200000.0
Net Short Term Debt Issuance,-4923000000.0
Short Term Debt Payments,-5130000000.0
Short Term Debt Issuance,207000000.0
Net Long Term Debt Issuance,-4699200000.0
Long Term Debt Payments,-11684900000.0
Long Term Debt Issuance,6985700000.0
Investing Cash Flow,-14184600000.0
Net Other Investing Changes,1800000.0
Interest Received Cfi,3435100000.0
Dividends Received Cfi,61500000.0
Net Investment Purchase And Sale,13992200000.0
Sale Of Investment,16800400000.0
Purchase Of Investment,-2808200000.0
Net Business Purchase And Sale,
Purchase Of Business,
Net Intangibles Purchase And Sale,-600500000.0
Purchase Of Intangibles,-600500000.0
Net PPE Purchase And Sale,-31094500000.0
Sale Of PPE,308500000.0
Purchase Of PPE,-31403000000.0
Operating Cash Flow,33474900000.0
Taxes Refund Paid,-4441900000.0
Change In Working Capital,-7252800000.0
Change In Payable,5216300000.0
Change In Inventory,-7904900000.0
Change In Receivables,-4564200000.0
Other Non Cash Items,-126400000.0
Provisionand Write Offof Assets,-11400000.0
Depreciation And Amortization,18973200000.0
Amortization Cash Flow,112900000.0
Depreciation,18860300000.0
Gain Loss On Investment Securities,-3170100000.0
Net Foreign Currency Exchange Gain Loss,-5600000.0
Gain Loss On Sale Of PPE,-97200000.0
Net Income From Continuing Operations,29592000000.0
