metric,value
Tax Effect Of Unusual Items,447613127.373073
Tax Rate For Calcs,0.191993
Normalized EBITDA,40171600000.0
Total Unusual Items,2331400000.0
Total Unusual Items Excluding Goodwill,2331400000.0
Net Income From Continuing Operation Net Minority Interest,23319400000.0
Reconciled Depreciation,11458800000.0
Reconciled Cost Of Revenue,53749700000.0
EBITDA,42503000000.0
EBIT,31044200000.0
Net Interest Income,996100000.0
Interest Expense,2126000000.0
Interest Income,3157300000.0
Normalized Income,21435613127.373074
Net Income From Continuing And Discontinued Operation,23319400000.0
Total Expenses,120364300000.0
Rent Expense Supplemental,
Diluted Average Shares,36080748.0
Basic Average Shares,36080748.0
Diluted EPS,646.31
Basic EPS,646.31
Diluted NI Availto Com Stockholders,23319400000.0
Net Income Common Stockholders,23319400000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,23319400000.0
Minority Interests,-46700000.0
Net Income Including Noncontrolling Interests,23366100000.0
Net Income Continuous Operations,23366100000.0
Tax Provision,5552100000.0
Pretax Income,28918200000.0
Other Non Operating Income Expenses,11700000.0
Special Income Charges,158700000.0
Other Special Charges,-163200000.0
Write Off,4500000.0
Net Non Operating Interest Income Expense,996100000.0
Total Other Finance Cost,35200000.0
Interest Expense Non Operating,2126000000.0
Interest Income Non Operating,3157300000.0
Operating Income,25489600000.0
Operating Expense,66614600000.0
Other Operating Expenses,12118300000.0
Depreciation And Amortization In Income Statement,11458800000.0
Depreciation Income Statement,11458800000.0
Selling General And Administration,37122500000.0
Selling And Marketing Expense,36946900000.0
General And Administrative Expense,175600000.0
Rent And Landing Fees,
Gross Profit,92104200000.0
Cost Of Revenue,53749700000.0
Total Revenue,145853900000.0
Operating Revenue,145853900000.0
