metric,value
Free Cash Flow,74895000000.0
Repurchase Of Capital Stock,-1857000000.0
Repayment Of Debt,-43999000000.0
Issuance Of Debt,16567700000.0
Capital Expenditure,-14950400000.0
End Cash Position,45082500000.0
Other Cash Adjustment Outside Changein Cash,414500000.0
Beginning Cash Position,62730300000.0
Effect Of Exchange Rate Changes,1274300000.0
Changes In Cash,-19336600000.0
Financing Cash Flow,-51934600000.0
Net Other Financing Charges,
Interest Paid Cff,-732100000.0
Cash Dividends Paid,-21589200000.0
Net Common Stock Issuance,-1857000000.0
Common Stock Payments,-1857000000.0
Net Issuance Payments Of Debt,-26367100000.0
Net Short Term Debt Issuance,1064200000.0
Net Long Term Debt Issuance,-27431300000.0
Long Term Debt Payments,-43999000000.0
Long Term Debt Issuance,16567700000.0
Investing Cash Flow,-57247400000.0
Interest Received Cfi,763000000.0
Dividends Received Cfi,1338300000.0
Net Investment Purchase And Sale,-37910700000.0
Sale Of Investment,208713400000.0
Purchase Of Investment,-246624100000.0
Net Business Purchase And Sale,-7157300000.0
Sale Of Business,238400000.0
Purchase Of Business,-7395700000.0
Net PPE Purchase And Sale,-14344300000.0
Sale Of PPE,606100000.0
Purchase Of PPE,-14950400000.0
Operating Cash Flow,89845400000.0
Taxes Refund Paid,9692200000.0
Change In Working Capital,15590500000.0
Change In Other Current Liabilities,-23333500000.0
Change In Other Current Assets,141100000.0
Change In Payable,3699200000.0
Change In Inventory,3069500000.0
Change In Receivables,-13422600000.0
Other Non Cash Items,-4320000000.0
Provisionand Write Offof Assets,175700000.0
Depreciation And Amortization,21437400000.0
Amortization Cash Flow,
Depreciation,21437400000.0
Gain Loss On Investment Securities,972400000.0
Net Foreign Currency Exchange Gain Loss,-172000000.0
Gain Loss On Sale Of PPE,1656000000.0
Gain Loss On Sale Of Business,
Net Income From Continuing Operations,44813200000.0
