metric,value
Tax Effect Of Unusual Items,-10960316792.819973
Tax Rate For Calcs,0.239996
Normalized EBITDA,113192800000.0
Total Unusual Items,-45668700000.0
Total Unusual Items Excluding Goodwill,-45668700000.0
Net Income From Continuing Operation Net Minority Interest,32727300000.0
Reconciled Depreciation,21437400000.0
Reconciled Cost Of Revenue,103515400000.0
EBITDA,67524100000.0
EBIT,46086700000.0
Net Interest Income,-1273500000.0
Interest Expense,1273500000.0
Interest Income,5533700000.0
Normalized Income,67435683207.18002
Net Income From Continuing And Discontinued Operation,32727300000.0
Total Expenses,303264000000.0
Rent Expense Supplemental,535400000.0
Diluted Average Shares,2406419118.0
Basic Average Shares,2406419118.0
Diluted EPS,13.6
Basic EPS,13.6
Diluted NI Availto Com Stockholders,32727300000.0
Net Income Common Stockholders,32727300000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,32727300000.0
Minority Interests,-1165500000.0
Net Income Including Noncontrolling Interests,33892800000.0
Net Income Continuous Operations,33892800000.0
Tax Provision,10755000000.0
Pretax Income,44813200000.0
Other Non Operating Income Expenses,9215100000.0
Special Income Charges,-45668700000.0
Other Special Charges,45150600000.0
Write Off,
Impairment Of Capital Assets,204600000.0
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-1273500000.0
Interest Expense Non Operating,1273500000.0
Interest Income Non Operating,5533700000.0
Operating Income,81000200000.0
Operating Expense,199748600000.0
Other Operating Expenses,107583600000.0
Depreciation And Amortization In Income Statement,21437399999.999996
Amortization,
Depreciation Income Statement,21437399999.999996
Selling General And Administration,54685600000.0
Selling And Marketing Expense,32817300000.0
General And Administrative Expense,21868300000.0
Rent And Landing Fees,535400000.0
Gross Profit,280748800000.0
Cost Of Revenue,103515400000.0
Total Revenue,384264200000.0
Operating Revenue,384264200000.0
