metric,value
Tax Effect Of Unusual Items,-19916430000.0
Tax Rate For Calcs,0.3
Normalized EBITDA,228877000000.0
Total Unusual Items,-66388100000.0
Total Unusual Items Excluding Goodwill,-66388100000.0
Net Income From Continuing Operation Net Minority Interest,-44374400000.0
Reconciled Depreciation,98883600000.0
Reconciled Cost Of Revenue,1355772400000.0
EBITDA,162488900000.0
EBIT,63605300000.0
Net Interest Income,-70367500000.0
Interest Expense,75075700000.0
Interest Income,4708200000.0
Normalized Income,2097270000.0
Net Income From Continuing And Discontinued Operation,-44374400000.0
Total Expenses,2149144900000.0
Rent Expense Supplemental,39287600000.0
Diluted Average Shares,12271435104.0
Basic Average Shares,12268200078.0
Diluted EPS,-3.62
Basic EPS,-3.62
Diluted NI Availto Com Stockholders,-44374400000.0
Net Income Common Stockholders,-44374400000.0
Otherunder Preferred Stock Dividend,0.0
Preferred Stock Dividends,
Net Income,-44374400000.0
Minority Interests,4721700000.0
Net Income Including Noncontrolling Interests,-49096100000.0
Net Income Continuous Operations,-49096100000.0
Tax Provision,37625700000.0
Pretax Income,-11470400000.0
Other Non Operating Income Expenses,1113200000.0
Special Income Charges,-68532100000.0
Other Special Charges,-10354100000.0
Write Off,34960100000.0
Impairment Of Capital Assets,35159900000.0
Restructuring And Mergern Acquisition,43926100000.0
Net Non Operating Interest Income Expense,-70367500000.0
Interest Expense Non Operating,75075700000.0
Interest Income Non Operating,4708200000.0
Operating Income,123817100000.0
Operating Expense,793372500000.0
Other Operating Expenses,302274500000.0
Depreciation And Amortization In Income Statement,98883600000.0
Depreciation Income Statement,98883600000.0
Selling General And Administration,126638800000.0
Selling And Marketing Expense,119523300000.0
General And Administrative Expense,7115500000.0
Rent And Landing Fees,39287600000.0
Gross Profit,917189600000.0
Cost Of Revenue,1355772400000.0
Total Revenue,2272962000000.0
Operating Revenue,2272962000000.0
