metric,value
Tax Effect Of Unusual Items,277560000.0
Tax Rate For Calcs,0.257
Normalized EBITDA,626000000000.0
Total Unusual Items,1080000000.0
Total Unusual Items Excluding Goodwill,1080000000.0
Net Income From Continuing Operation Net Minority Interest,421470000000.0
Reconciled Depreciation,50220000000.0
Reconciled Cost Of Revenue,1197590000000.0
EBITDA,627080000000.0
EBIT,576860000000.0
Net Interest Income,24690000000.0
Interest Expense,7790000000.0
Interest Income,32480000000.0
Normalized Income,420667560000.0
Net Income From Continuing And Discontinued Operation,421470000000.0
Total Expenses,1710810000000.0
Diluted Average Shares,3659051373.0
Basic Average Shares,3659051373.0
Diluted EPS,115.19
Basic EPS,115.19
Diluted NI Availto Com Stockholders,421470000000.0
Net Income Common Stockholders,421470000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,421470000000.0
Minority Interests,-1560000000.0
Net Income Including Noncontrolling Interests,423030000000.0
Net Income Continuous Operations,423030000000.0
Tax Provision,146040000000.0
Pretax Income,569070000000.0
Other Non Operating Income Expenses,970000000.0
Special Income Charges,-1160000000.0
Other Special Charges,-240000000.0
Write Off,1400000000.0
Net Non Operating Interest Income Expense,24690000000.0
Interest Expense Non Operating,7790000000.0
Interest Income Non Operating,32480000000.0
Operating Income,543770000000.0
Operating Expense,513220000000.0
Other Operating Expenses,130730000000.0
Depreciation And Amortization In Income Statement,50220000000.0
Depreciation Income Statement,50220000000.0
Selling General And Administration,235830000000.0
General And Administrative Expense,235830000000.0
Gross Profit,1056990000000.0
Cost Of Revenue,1197590000000.0
Total Revenue,2254580000000.0
Operating Revenue,2254580000000.0
