metric,value
Tax Effect Of Unusual Items,-1492010544.597444
Tax Rate For Calcs,0.256668
Normalized EBITDA,55568000000.0
Total Unusual Items,-1231000000.0
Total Unusual Items Excluding Goodwill,-5813000000.0
Net Income From Continuing Operation Net Minority Interest,23578000000.0
Reconciled Depreciation,18171000000.0
Reconciled Cost Of Revenue,390276000000.0
EBITDA,54337000000.0
EBIT,36166000000.0
Net Interest Income,-2382000000.0
Interest Expense,3922000000.0
Interest Income,1540000000.0
Normalized Income,32480989455.402557
Net Income From Continuing And Discontinued Operation,23578000000.0
Total Expenses,485733000000.0
Rent Expense Supplemental,3043000000.0
Diluted Average Shares,887204530.0
Basic Average Shares,884266371.0
Diluted EPS,26.58
Basic EPS,26.66
Diluted NI Availto Com Stockholders,23578000000.0
Net Income Common Stockholders,23578000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,23578000000.0
Minority Interests,-390000000.0
Net Income Including Noncontrolling Interests,23968000000.0
Net Income Continuous Operations,23968000000.0
Tax Provision,8276000000.0
Pretax Income,32244000000.0
Other Non Operating Income Expenses,6505000000.0
Special Income Charges,-7305000000.0
Other Special Charges,-25000000.0
Write Off,2748000000.0
Net Non Operating Interest Income Expense,-2382000000.0
Total Other Finance Cost,3411000000.0
Interest Expense Non Operating,3922000000.0
Interest Income Non Operating,1540000000.0
Operating Income,34223000000.0
Operating Expense,95457000000.0
Other Operating Expenses,31758000000.0
Depreciation And Amortization In Income Statement,18171000000.0
Amortization,7120000000.0
Depreciation Income Statement,11051000000.0
Selling General And Administration,21652000000.0
Selling And Marketing Expense,2876000000.0
General And Administrative Expense,18776000000.0
Rent And Landing Fees,3043000000.0
Gross Profit,129680000000.0
Cost Of Revenue,390276000000.0
Total Revenue,519956000000.0
Operating Revenue,519956000000.0
