metric,value
Tax Effect Of Unusual Items,458308457.711443
Tax Rate For Calcs,0.243781
Normalized EBITDA,56380000000.0
Total Unusual Items,1880000000.0
Total Unusual Items Excluding Goodwill,1880000000.0
Net Income From Continuing Operation Net Minority Interest,34960000000.0
Reconciled Depreciation,5840000000.0
Reconciled Cost Of Revenue,394890000000.0
EBITDA,58260000000.0
EBIT,52420000000.0
Net Interest Income,-3700000000.0
Interest Expense,6190000000.0
Interest Income,2490000000.0
Normalized Income,33538308457.711445
Net Income From Continuing And Discontinued Operation,34960000000.0
Total Expenses,462130000000.0
Rent Expense Supplemental,480000000.0
Diluted Average Shares,887653172.0
Basic Average Shares,887395949.0
Diluted EPS,39.38
Basic EPS,39.4
Diluted NI Availto Com Stockholders,34960000000.0
Net Income Common Stockholders,34960000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,34960000000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,34960000000.0
Net Income Continuous Operations,34960000000.0
Tax Provision,11270000000.0
Pretax Income,46230000000.0
Other Non Operating Income Expenses,810000000.0
Special Income Charges,-150000000.0
Other Special Charges,-810000000.0
Write Off,150000000.0
Net Non Operating Interest Income Expense,-3700000000.0
Total Other Finance Cost,
Interest Expense Non Operating,6190000000.0
Interest Income Non Operating,2490000000.0
Operating Income,47230000000.0
Operating Expense,67240000000.0
Other Operating Expenses,11170000000.0
Depreciation And Amortization In Income Statement,5840000000.0
Amortization,420000000.0
Depreciation Income Statement,5420000000.0
Selling General And Administration,30740000000.0
Selling And Marketing Expense,27650000000.0
General And Administrative Expense,3090000000.0
Rent And Landing Fees,480000000.0
Gross Profit,114470000000.0
Cost Of Revenue,394890000000.0
Total Revenue,509360000000.0
Operating Revenue,509360000000.0
