metric,value
Tax Effect Of Unusual Items,681610290.0
Tax Rate For Calcs,0.1977
Normalized EBITDA,128242600000.0
Total Unusual Items,-974300000.0
Total Unusual Items Excluding Goodwill,3447700000.0
Net Income From Continuing Operation Net Minority Interest,60391100000.0
Reconciled Depreciation,40149500000.0
Reconciled Cost Of Revenue,175007800000.0
EBITDA,131690300000.0
EBIT,91540800000.0
Net Interest Income,-13464300000.0
Interest Expense,16259500000.0
Interest Income,2923500000.0
Normalized Income,57625010290.0
Net Income From Continuing And Discontinued Operation,60391100000.0
Total Expenses,674126300000.0
Rent Expense Supplemental,1774900000.0
Diluted Average Shares,294399800.0
Basic Average Shares,294154702.0
Diluted EPS,205.13
Basic EPS,205.3
Diluted NI Availto Com Stockholders,60391100000.0
Net Income Common Stockholders,60391100000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,60391100000.0
Minority Interests,-5300000.0
Net Income Including Noncontrolling Interests,60396400000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,60396400000.0
Tax Provision,14884900000.0
Pretax Income,75281300000.0
Other Non Operating Income Expenses,893500000.0
Special Income Charges,-11200000.0
Other Special Charges,-963100000.0
Write Off,93500000.0
Restructuring And Mergern Acquisition,880800000.0
Net Non Operating Interest Income Expense,-13464300000.0
Total Other Finance Cost,128300000.0
Interest Expense Non Operating,16259500000.0
Interest Income Non Operating,2923500000.0
Operating Income,84235100000.0
Operating Expense,490121600000.0
Other Operating Expenses,230805800000.0
Depreciation And Amortization In Income Statement,40149500000.0
Amortization,2959200000.0
Depreciation Income Statement,37190300000.0
Selling General And Administration,191134700000.0
Selling And Marketing Expense,189756100000.0
General And Administrative Expense,1378600000.0
Rent And Landing Fees,1774900000.0
Gross Profit,574356700000.0
Cost Of Revenue,175007800000.0
Total Revenue,749364500000.0
Operating Revenue,749364500000.0
