metric,value
Tax Effect Of Unusual Items,-295792000.0
Tax Rate For Calcs,0.1064
Normalized EBITDA,93780000000.0
Total Unusual Items,-2780000000.0
Total Unusual Items Excluding Goodwill,-2780000000.0
Net Income From Continuing Operation Net Minority Interest,36260000000.0
Reconciled Depreciation,23590000000.0
Reconciled Cost Of Revenue,223860000000.0
EBITDA,91000000000.0
EBIT,67410000000.0
Net Interest Income,-17870000000.0
Interest Expense,17750000000.0
Interest Income,1590000000.0
Normalized Income,38744208000.0
Net Income From Continuing And Discontinued Operation,36260000000.0
Total Expenses,381690000000.0
Rent Expense Supplemental,1360000000.0
Diluted Average Shares,796508515.0
Basic Average Shares,796508515.0
Diluted EPS,44.00049
Basic EPS,44.00049
Diluted NI Availto Com Stockholders,35050000000.0
Net Income Common Stockholders,35050000000.0
Otherunder Preferred Stock Dividend,1210000000.0
Net Income,36260000000.0
Minority Interests,-8110000000.0
Net Income Including Noncontrolling Interests,44370000000.0
Net Income Continuous Operations,44370000000.0
Tax Provision,5290000000.0
Pretax Income,49660000000.0
Other Non Operating Income Expenses,800000000.0
Special Income Charges,-2780000000.0
Other Special Charges,1890000000.0
Write Off,-40000000.0
Restructuring And Mergern Acquisition,930000000.0
Net Non Operating Interest Income Expense,-17870000000.0
Total Other Finance Cost,1710000000.0
Interest Expense Non Operating,17750000000.0
Interest Income Non Operating,1590000000.0
Operating Income,78020000000.0
Operating Expense,157830000000.0
Other Operating Expenses,66100000000.0
Depreciation And Amortization In Income Statement,23590000000.0
Amortization,11600000000.0
Depreciation Income Statement,11990000000.0
Research And Development,1000000000.0
Selling General And Administration,18420000000.0
Selling And Marketing Expense,8030000000.0
General And Administrative Expense,10390000000.0
Rent And Landing Fees,1360000000.0
Gross Profit,235850000000.0
Cost Of Revenue,223860000000.0
Total Revenue,459710000000.0
Operating Revenue,459710000000.0
