metric,value
Tax Effect Of Unusual Items,-1822800000.0
Tax Rate For Calcs,0.28
Normalized EBITDA,470320000000.0
Total Unusual Items,-6510000000.0
Total Unusual Items Excluding Goodwill,-6510000000.0
Net Income From Continuing Operation Net Minority Interest,188020000000.0
Reconciled Depreciation,89190000000.0
Reconciled Cost Of Revenue,697000000000.0
EBITDA,463810000000.0
EBIT,374620000000.0
Net Interest Income,-29050000000.0
Interest Expense,44980000000.0
Interest Income,18850000000.0
Normalized Income,192707200000.0
Net Income From Continuing And Discontinued Operation,188020000000.0
Total Expenses,951820000000.0
Rent Expense Supplemental,380000000.0
Total Operating Income As Reported,389627000000.0
Diluted Average Shares,3732036522.0
Basic Average Shares,3706288192.0
Diluted EPS,50.38
Basic EPS,50.73
Diluted NI Availto Com Stockholders,188020000000.0
Net Income Common Stockholders,188020000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,188020000000.0
Minority Interests,-49080000000.0
Net Income Including Noncontrolling Interests,237100000000.0
Net Income Extraordinary,
Net Income Continuous Operations,237100000000.0
Earnings From Equity Interest Net Of Tax,10000000.0
Tax Provision,92550000000.0
Pretax Income,329640000000.0
Other Income Expense,-363000000.0
Other Non Operating Income Expenses,1310000000.0
Special Income Charges,-6510000000.0
Other Special Charges,6400000000.0
Write Off,110000000.0
Impairment Of Capital Assets,1220000000.0
Restructuring And Mergern Acquisition,0.0
Gain On Sale Of Security,-363000000.0
Net Non Operating Interest Income Expense,-29050000000.0
Total Other Finance Cost,2920000000.0
Interest Expense Non Operating,44980000000.0
Interest Income Non Operating,18850000000.0
Operating Income,360100000000.0
Operating Expense,254820000000.0
Other Operating Expenses,212050000000.0
Selling General And Administration,32130000000.0
Selling And Marketing Expense,29440000000.0
General And Administrative Expense,2690000000.0
Other Gand A,50204000000.0
Rent And Landing Fees,380000000.0
Salaries And Wages,28110000000.0
Gross Profit,614920000000.0
Cost Of Revenue,697000000000.0
Total Revenue,1311920000000.0
Operating Revenue,1311920000000.0
