metric,value
Tax Effect Of Unusual Items,-826546000.0
Tax Rate For Calcs,0.301
Normalized EBITDA,10445000000.0
Total Unusual Items,-2746000000.0
Total Unusual Items Excluding Goodwill,-2746000000.0
Net Income From Continuing Operation Net Minority Interest,1992000000.0
Reconciled Depreciation,3167000000.0
Reconciled Cost Of Revenue,50393000000.0
EBITDA,7699000000.0
EBIT,4532000000.0
Net Interest Income,-721000000.0
Interest Expense,721000000.0
Interest Income,
Normalized Income,3911454000.0
Net Income From Continuing And Discontinued Operation,1414000000.0
Total Expenses,80391000000.0
Rent Expense Supplemental,
Diluted Average Shares,960519420.0
Basic Average Shares,960519420.0
Diluted EPS,1.47
Basic EPS,1.47
Diluted NI Availto Com Stockholders,1414000000.0
Net Income Common Stockholders,1414000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,1414000000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,1414000000.0
Net Income Discontinuous Operations,-578000000.0
Net Income Continuous Operations,1992000000.0
Tax Provision,1819000000.0
Pretax Income,3811000000.0
Other Non Operating Income Expenses,1293000000.0
Special Income Charges,-2784000000.0
Other Special Charges,2784000000.0
Write Off,0.0
Restructuring And Mergern Acquisition,2784000000.0
Net Non Operating Interest Income Expense,-721000000.0
Total Other Finance Cost,
Interest Expense Non Operating,721000000.0
Interest Income Non Operating,
Operating Income,5981000000.0
Operating Expense,29998000000.0
Other Operating Expenses,16719000000.0
Depreciation And Amortization In Income Statement,3091000000.0
Amortization,
Depreciation Income Statement,3091000000.0
Selling General And Administration,10677000000.0
Selling And Marketing Expense,10677000000.0
General And Administrative Expense,
Rent And Landing Fees,
Gross Profit,35979000000.0
Cost Of Revenue,50393000000.0
Total Revenue,86372000000.0
Operating Revenue,86372000000.0
