company_name,symbol,stock_file_stem,yahoo_symbol,status,stock_rows,financial_files_written,empty_statements
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,ADANIPORTS,ADANIPORTS.NS,ok,988,12,
Asian Paints Ltd.,ASIANPAINT,ASIANPAINT,ASIANPAINT.NS,ok,988,12,
Axis Bank Ltd.,AXISBANK,AXISBANK,AXISBANK.NS,ok,988,12,
Bajaj Auto Ltd.,BAJAJ-AUTO,BAJAJ-AUTO,BAJAJ-AUTO.NS,ok,988,12,
Bajaj Finserv Ltd.,BAJAJFINSV,BAJAJFINSV,BAJAJFINSV.NS,ok,988,12,
Bajaj Finance Ltd.,BAJFINANCE,BAJFINANCE,BAJFINANCE.NS,ok,988,12,
Bharti Airtel Ltd.,BHARTIARTL,BHARTIARTL,BHARTIARTL.NS,ok,988,12,
Bharat Petroleum Corporation Ltd.,BPCL,BPCL,BPCL.NS,ok,988,12,
Britannia Industries Ltd.,BRITANNIA,BRITANNIA,BRITANNIA.NS,ok,988,12,
Cipla Ltd.,CIPLA,CIPLA,CIPLA.NS,ok,988,12,
Coal India Ltd.,COALINDIA,COALINDIA,COALINDIA.NS,ok,988,12,
Dr. Reddy's Laboratories Ltd.,DRREDDY,DRREDDY,DRREDDY.NS,ok,988,12,
Eicher Motors Ltd.,EICHERMOT,EICHERMOT,EICHERMOT.NS,ok,988,12,
GAIL (India) Ltd.,GAIL,GAIL,GAIL.NS,ok,988,12,
Grasim Industries Ltd.,GRASIM,GRASIM,GRASIM.NS,ok,988,12,
HCL Technologies Ltd.,HCLTECH,HCLTECH,HCLTECH.NS,ok,988,12,
Housing Development Finance Corporation Ltd.,HDFC,HDFC,HDFC.NS,no_data,0,0,"income_statement, balance_sheet, cash_flow"
HDFC Bank Ltd.,HDFCBANK,HDFCBANK,HDFCBANK.NS,ok,988,12,
Hero MotoCorp Ltd.,HEROMOTOCO,HEROMOTOCO,HEROMOTOCO.NS,ok,988,12,
Hindalco Industries Ltd.,HINDALCO,HINDALCO,HINDALCO.NS,ok,988,12,
Hindustan Unilever Ltd.,HINDUNILVR,HINDUNILVR,HINDUNILVR.NS,ok,988,12,
ICICI Bank Ltd.,ICICIBANK,ICICIBANK,ICICIBANK.NS,ok,988,12,
IndusInd Bank Ltd.,INDUSINDBK,INDUSINDBK,INDUSINDBK.NS,ok,988,12,
Bharti Infratel Ltd.,INFRATEL,INFRATEL,INFRATEL.NS,no_data,0,0,"income_statement, balance_sheet, cash_flow"
Infosys Ltd.,INFY,INFY,INFY.NS,ok,988,12,
Indian Oil Corporation Ltd.,IOC,IOC,IOC.NS,ok,988,12,
ITC Ltd.,ITC,ITC,ITC.NS,ok,988,12,
JSW Steel Ltd.,JSWSTEEL,JSWSTEEL,JSWSTEEL.NS,ok,988,12,
Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAKBANK,KOTAKBANK.NS,ok,988,12,
Larsen & Toubro Ltd.,LT,LT,LT.NS,ok,988,12,
Mahindra & Mahindra Ltd.,M&M,MM,M&M.NS,ok,988,12,
Maruti Suzuki India Ltd.,MARUTI,MARUTI,MARUTI.NS,ok,988,12,
Nestle India Ltd.,NESTLEIND,NESTLEIND,NESTLEIND.NS,ok,988,6,
NTPC Ltd.,NTPC,NTPC,NTPC.NS,ok,988,12,
Oil & Natural Gas Corporation Ltd.,ONGC,ONGC,ONGC.NS,ok,988,12,
Power Grid Corporation of India Ltd.,POWERGRID,POWERGRID,POWERGRID.NS,ok,988,12,
Reliance Industries Ltd.,RELIANCE,RELIANCE,RELIANCE.NS,ok,988,12,
State Bank of India,SBIN,SBIN,SBIN.NS,ok,988,12,
Shree Cement Ltd.,SHREECEM,SHREECEM,SHREECEM.NS,ok,988,12,
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,SUNPHARMA,SUNPHARMA.NS,ok,988,12,
Tata Motors Ltd.,TATAMOTORS,TATAMOTORS,TATAMOTORS.NS,no_data,0,0,"income_statement, balance_sheet, cash_flow"
Tata Steel Ltd.,TATASTEEL,TATASTEEL,TATASTEEL.NS,ok,988,12,
Tata Consultancy Services Ltd.,TCS,TCS,TCS.NS,ok,988,12,
Tech Mahindra Ltd.,TECHM,TECHM,TECHM.NS,ok,988,12,
Titan Company Ltd.,TITAN,TITAN,TITAN.NS,ok,988,12,
UltraTech Cement Ltd.,ULTRACEMCO,ULTRACEMCO,ULTRACEMCO.NS,ok,988,12,
UPL Ltd.,UPL,UPL,UPL.NS,ok,988,12,
Vedanta Ltd.,VEDL,VEDL,VEDL.NS,ok,988,12,
Wipro Ltd.,WIPRO,WIPRO,WIPRO.NS,ok,988,12,
Zee Entertainment Enterprises Ltd.,ZEEL,ZEEL,ZEEL.NS,ok,988,12,
