symbol,start_date,end_date,months,total_ret_pct,ann_vol_pct,max_drawdown_pct,avg_rv_med_pct,avg_cs_disp_pct,avg_composite,dominant_regime,label,interest_score,source
ADANIPORTS.NS,2022-01-03,2022-07-05,6.0,-7.85,37.15,-27.09,39.54,29.54,-0.6843,Low Volatility,Bear Market / Major Correction,26.291,rolling_6m
ADANIPORTS.NS,2022-08-04,2023-02-06,6.0,-32.43,51.51,-52.34,32.79,23.08,-0.113,Normal,Crash / Severe Bear Market,41.22,rolling_6m
ADANIPORTS.NS,2023-02-20,2024-09-05,18.0,152.81,38.36,-21.15,42.54,25.72,0.2977,Crisis / High Stress,High-Growth Bull Run (Volatile),61.0025,rolling_18m
ADANIPORTS.NS,2024-08-26,2025-02-20,6.0,-25.01,36.48,-28.89,36.83,24.95,0.3338,Crisis / High Stress,Bear Market / Major Correction,29.7885,rolling_6m
ADANIPORTS.NS,2025-01-24,2025-07-28,6.0,25.76,27.76,-9.54,32.75,24.2,0.2113,Elevated Volatility,High Volatility Sideways,22.904,rolling_6m
ASIANPAINT.NS,2022-01-03,2022-07-05,6.0,-19.16,31.32,-27.85,31.92,22.87,-0.4635,Low Volatility,Bear Market / Major Correction,25.896,rolling_6m
ASIANPAINT.NS,2022-08-04,2023-02-06,6.0,-20.41,20.0,-24.23,22.45,17.14,0.095,Elevated Volatility,Bear Market / Major Correction,20.3765,rolling_6m
ASIANPAINT.NS,2023-02-20,2024-09-05,18.0,14.61,17.96,-23.52,17.83,12.8,-0.1983,Low Volatility,Mixed / Transitional Market,17.2025,rolling_18m
ASIANPAINT.NS,2024-09-24,2025-03-25,6.0,-28.25,23.75,-35.96,22.6,16.16,0.5736,Crisis / High Stress,Crash / Severe Bear Market,25.799,rolling_6m
ASIANPAINT.NS,2025-05-30,2025-11-28,6.0,27.24,19.49,-10.41,18.37,14.11,0.105,Elevated Volatility,Mixed / Transitional Market,18.5355,rolling_6m
AXISBANK.NS,2022-01-03,2022-07-05,6.0,-6.87,31.51,-22.75,32.8,24.1,-0.4652,Low Volatility,Bear Market / Major Correction,22.116,rolling_6m
AXISBANK.NS,2022-07-06,2024-07-24,24.0,88.35,22.85,-14.37,22.19,16.93,-0.0429,Normal,High-Growth Bull Run (Volatile),36.345,rolling_24m
AXISBANK.NS,2024-07-25,2025-01-23,6.0,-19.12,22.72,-25.53,24.17,16.94,0.4123,Elevated Volatility,Bear Market / Major Correction,21.226000000000003,rolling_6m
AXISBANK.NS,2024-12-26,2025-06-27,6.0,13.78,23.34,-12.75,23.14,16.65,0.4858,Crisis / High Stress,Mixed / Transitional Market,17.494,rolling_6m
AXISBANK.NS,2025-05-30,2025-11-28,6.0,7.34,18.22,-15.27,20.46,14.63,-0.0173,Normal,Mixed / Transitional Market,14.192,rolling_6m
BAJAJ-AUTO.NS,2022-03-04,2022-09-06,6.0,21.2,24.93,-10.47,27.57,20.08,-0.1689,Elevated Volatility,Mixed / Transitional Market,20.1355,rolling_6m
BAJAJ-AUTO.NS,2022-10-07,2024-10-23,24.0,193.79,24.53,-20.55,21.9,16.17,-0.1208,Normal,High-Growth Bull Run (Volatile),64.377,rolling_24m
BAJAJ-AUTO.NS,2024-09-24,2025-03-25,6.0,-35.66,31.28,-42.1,30.76,20.68,0.9286,Crisis / High Stress,Crash / Severe Bear Market,32.419000000000004,rolling_6m
BAJAJ-AUTO.NS,2025-03-26,2025-09-26,6.0,9.09,24.91,-10.65,26.02,19.3,0.6228,Crisis / High Stress,Mixed / Transitional Market,16.981,rolling_6m
BAJAJFINSV.NS,2022-01-03,2022-07-05,6.0,-32.13,35.14,-40.49,33.64,26.12,-0.3952,Low Volatility,Crash / Severe Bear Market,33.653499999999994,rolling_6m
BAJAJFINSV.NS,2022-07-04,2023-07-10,12.0,40.3,28.35,-32.25,28.97,21.26,0.4737,Crisis / High Stress,Strong Bull Market,30.6995,rolling_12m
BAJAJFINSV.NS,2023-06-13,2023-12-14,6.0,16.47,20.87,-11.91,19.97,13.91,-0.2907,Normal,Mixed / Transitional Market,16.586,rolling_6m
BAJAJFINSV.NS,2024-04-18,2025-10-24,18.0,35.49,24.12,-22.45,24.08,18.0,0.0337,Elevated Volatility,Strong Bull Market,25.404500000000006,rolling_18m
