metric,value
Ordinary Shares Number,2160138945.0
Share Issued,2160138945.0
Net Debt,422543300000.0
Total Debt,513048200000.0
Tangible Book Value,427362900000.0
Invested Capital,1080960400000.0
Working Capital,-20418700000.0
Net Tangible Assets,427362900000.0
Capital Lease Obligations,56441700000.0
Common Stock Equity,624353900000.0
Total Capitalization,981166900000.0
Total Equity Gross Minority Interest,649733400000.0
Minority Interest,25379500000.0
Stockholders Equity,624353900000.0
Other Equity Interest,1665300000.0
Retained Earnings,463326600000.0
Additional Paid In Capital,104802300000.0
Capital Stock,4320300000.0
Common Stock,4320300000.0
Total Liabilities Net Minority Interest,703588900000.0
Total Non Current Liabilities Net Minority Interest,493729000000.0
Other Non Current Liabilities,21425400000.0
Liabilities Heldfor Sale Non Current,
Preferred Securities Outside Stock Equity,1493800000.0
Derivative Product Liabilities,111600000.0
Non Current Accrued Expenses,1315300000.0
Tradeand Other Payables Non Current,153200000.0
Non Current Deferred Revenue,21919800000.0
Non Current Deferred Taxes Liabilities,46532600000.0
Long Term Debt And Capital Lease Obligation,410709100000.0
Long Term Capital Lease Obligation,53896100000.0
Long Term Debt,356813000000.0
Long Term Provisions,11493600000.0
Current Liabilities,209859900000.0
Other Current Liabilities,4776500000.0
Current Debt And Capital Lease Obligation,102339100000.0
Current Capital Lease Obligation,2545600000.0
Current Debt,99793500000.0
Pensionand Other Post Retirement Benefit Plans Current,
Current Provisions,2367700000.0
Payables,79916800000.0
Other Payable,17159100000.0
Dividends Payable,30900000.0
Total Tax Payable,1448400000.0
Accounts Payable,61278400000.0
Total Assets,1353322300000.0
Total Non Current Assets,1163881100000.0
Other Non Current Assets,200000.0
Defined Pension Benefit,6800000000.0
Non Current Prepaid Assets,12013100000.0
Non Current Deferred Assets,342700000.0
Non Current Deferred Taxes Assets,18895800000.0
Financial Assets,0.0
Investmentin Financial Assets,26822500000.0
Held To Maturity Securities,
Available For Sale Securities,24010100000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,2812400000.0
Long Term Equity Investment,30826400000.0
Investmentsin Joint Venturesat Cost,
Investments In Other Ventures Under Equity Method,
Investment Properties,14591600000.0
Goodwill And Other Intangible Assets,196991000000.0
Other Intangible Assets,126055100000.0
Goodwill,70935900000.0
Net PPE,819227400000.0
Accumulated Depreciation,-189420300000.0
Gross PPE,1008647700000.0
Construction In Progress,133507900000.0
Other Properties,201477200000.0
Machinery Furniture Equipment,386788300000.0
Buildings And Improvements,125956400000.0
Land And Improvements,160917900000.0
Properties,0.0
Current Assets,189441200000.0
Other Current Assets,18003900000.0
Hedging Assets Current,1199700000.0
Assets Held For Sale Current,1867500000.0
Current Deferred Assets,2400000.0
Restricted Cash,12852300000.0
Prepaid Assets,51620600000.0
Inventory,5218000000.0
Work In Process,
Raw Materials,5218000000.0
Other Receivables,10811000000.0
Taxes Receivable,0.0
Accounts Receivable,44323600000.0
Allowance For Doubtful Accounts Receivable,-1999000000.0
Gross Accounts Receivable,46322600000.0
Cash Cash Equivalents And Short Term Investments,60983400000.0
Other Short Term Investments,26920200000.0
Cash And Cash Equivalents,34063200000.0
Cash Equivalents,22950100000.0
Cash Financial,11113100000.0
