metric,value
Free Cash Flow,76012800000.0
Repayment Of Debt,-60587800000.0
Issuance Of Debt,19297500000.0
Issuance Of Capital Stock,
Capital Expenditure,-74163000000.0
End Cash Position,15757300000.0
Other Cash Adjustment Outside Changein Cash,1789900000.0
Beginning Cash Position,11258200000.0
Changes In Cash,2709200000.0
Other Cash Adjustment Inside Changein Cash,0.0
Financing Cash Flow,-78001100000.0
Net Other Financing Charges,2646400000.0
Interest Paid Cff,-28085100000.0
Cash Dividends Paid,-10796800000.0
Common Stock Dividend Paid,
Net Common Stock Issuance,
Common Stock Issuance,
Net Issuance Payments Of Debt,-41290300000.0
Net Short Term Debt Issuance,-4749700000.0
Short Term Debt Payments,-4749700000.0
Short Term Debt Issuance,
Net Long Term Debt Issuance,-36540600000.0
Long Term Debt Payments,-55838100000.0
Long Term Debt Issuance,19297500000.0
Investing Cash Flow,-69465500000.0
Net Other Investing Changes,-8460200000.0
Interest Received Cfi,9691600000.0
Dividends Received Cfi,2139000000.0
Net Investment Purchase And Sale,31908600000.0
Sale Of Investment,33050500000.0
Purchase Of Investment,-1141900000.0
Net Business Purchase And Sale,-32730300000.0
Sale Of Business,2477700000.0
Purchase Of Business,-35208000000.0
Net PPE Purchase And Sale,-73895900000.0
Sale Of PPE,267100000.0
Purchase Of PPE,-74163000000.0
Operating Cash Flow,150175800000.0
Taxes Refund Paid,-12719200000.0
Change In Working Capital,-95500000.0
Change In Other Current Liabilities,5940900000.0
Change In Other Current Assets,2974800000.0
Change In Payable,-6203200000.0
Change In Inventory,80900000.0
Change In Receivables,-3297900000.0
Other Non Cash Items,21012700000.0
Provisionand Write Offof Assets,
Depreciation And Amortization,38884600000.0
Depreciation,38884600000.0
Gain Loss On Investment Securities,-2857000000.0
Net Foreign Currency Exchange Gain Loss,3287900000.0
Gain Loss On Sale Of PPE,-88900000.0
Gain Loss On Sale Of Business,0.0
Net Income From Continuing Operations,100937300000.0
