metric,value
Tax Effect Of Unusual Items,-568870020.0
Tax Rate For Calcs,0.1971
Normalized EBITDA,169823200000.0
Total Unusual Items,-2886200000.0
Total Unusual Items Excluding Goodwill,-2886200000.0
Net Income From Continuing Operation Net Minority Interest,85658000000.0
Reconciled Depreciation,38884600000.0
Reconciled Cost Of Revenue,113117900000.0
EBITDA,166937000000.0
EBIT,128052400000.0
Net Interest Income,-19209500000.0
Interest Expense,27115100000.0
Interest Income,8601900000.0
Normalized Income,87975329980.0
Net Income From Continuing And Discontinued Operation,85658000000.0
Total Expenses,145573600000.0
Rent Expense Supplemental,2871100000.0
Diluted Average Shares,2160138945.0
Basic Average Shares,2160138945.0
Diluted EPS,37.55
Basic EPS,37.55
Diluted NI Availto Com Stockholders,81106400000.0
Net Income Common Stockholders,81106400000.0
Otherunder Preferred Stock Dividend,0.0
Preferred Stock Dividends,0.0
Net Income,81106400000.0
Minority Interests,66500000.0
Net Income Including Noncontrolling Interests,81039900000.0
Net Income Extraordinary,-4551600000.0
Net Income Continuous Operations,85591500000.0
Tax Provision,15345800000.0
Pretax Income,100937300000.0
Other Non Operating Income Expenses,2151000000.0
Special Income Charges,-3648100000.0
Other Special Charges,1489100000.0
Write Off,
Restructuring And Mergern Acquisition,2159000000.0
Net Non Operating Interest Income Expense,-19209500000.0
Total Other Finance Cost,696300000.0
Interest Expense Non Operating,27115100000.0
Interest Income Non Operating,8601900000.0
Operating Income,121532000000.0
Operating Expense,32455700000.0
Other Operating Expenses,20222000000.0
Selling General And Administration,12115700000.0
Selling And Marketing Expense,2878600000.0
General And Administrative Expense,9237100000.0
Gross Profit,153987700000.0
Cost Of Revenue,113117900000.0
Total Revenue,267105600000.0
Operating Revenue,267105600000.0
