metric,value
Tax Effect Of Unusual Items,285503565.759567
Tax Rate For Calcs,0.262532
Normalized EBITDA,65578900000.0
Total Unusual Items,1334100000.0
Total Unusual Items Excluding Goodwill,1087500000.0
Net Income From Continuing Operation Net Minority Interest,41064500000.0
Reconciled Depreciation,8580200000.0
Reconciled Cost Of Revenue,212462900000.0
EBITDA,66913000000.0
EBIT,58332800000.0
Net Interest Income,-236500000.0
Interest Expense,1444500000.0
Interest Income,1208000000.0
Normalized Income,40509103565.75957
Net Income From Continuing And Discontinued Operation,41064500000.0
Total Expenses,289026500000.0
Rent Expense Supplemental,
Diluted Average Shares,958934041.0
Basic Average Shares,958868120.0
Diluted EPS,42.82
Basic EPS,42.83
Diluted NI Availto Com Stockholders,41064500000.0
Net Income Common Stockholders,41064500000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,41064500000.0
Minority Interests,-888800000.0
Net Income Including Noncontrolling Interests,41953300000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,41953300000.0
Tax Provision,14935000000.0
Pretax Income,56888300000.0
Other Non Operating Income Expenses,877700000.0
Special Income Charges,-118600000.0
Other Special Charges,-162400000.0
Write Off,34400000.0
Net Non Operating Interest Income Expense,-236500000.0
Interest Expense Non Operating,1444500000.0
Interest Income Non Operating,1208000000.0
Operating Income,54860600000.0
Operating Expense,76563600000.0
Other Operating Expenses,15648500000.0
Depreciation And Amortization In Income Statement,8580200000.0
Amortization,290900000.0
Depreciation Income Statement,8289300000.0
Selling General And Administration,32889900000.0
Selling And Marketing Expense,32536100000.0
General And Administrative Expense,353800000.0
Rent And Landing Fees,
Gross Profit,131424200000.0
Cost Of Revenue,212462900000.0
Total Revenue,343887100000.0
Operating Revenue,343887100000.0
