metric,value
Ordinary Shares Number,3069747836.0
Share Issued,3069747836.0
Net Debt,276790400000.0
Total Debt,1816761600000.0
Tangible Book Value,1176028800000.0
Invested Capital,2999368200000.0
Net Tangible Assets,1176028800000.0
Common Stock Equity,1182606600000.0
Total Capitalization,2999368200000.0
Total Equity Gross Minority Interest,1185220100000.0
Minority Interest,2613500000.0
Stockholders Equity,1182606600000.0
Other Equity Interest,1507700000.0
Retained Earnings,406044900000.0
Additional Paid In Capital,515478700000.0
Capital Stock,6139500000.0
Common Stock,6139500000.0
Total Liabilities Net Minority Interest,10772571400000.0
Derivative Product Liabilities,
Long Term Debt And Capital Lease Obligation,1816761600000.0
Payables,131616900000.0
Other Payable,84993600000.0
Dividends Payable,
Accounts Payable,46623300000.0
Total Assets,11957791500000.0
Investments And Advances,2158027000000.0
Investmentin Financial Assets,2153733500000.0
Available For Sale Securities,27004600000.0
Long Term Equity Investment,4293500000.0
Investmentsin Joint Venturesat Cost,
Investmentsin Associatesat Cost,4293500000.0
Investmentsin Subsidiariesat Cost,
Goodwill And Other Intangible Assets,6577800000.0
Goodwill,6577800000.0
Net PPE,46791200000.0
Accumulated Depreciation,-66684900000.0
Gross PPE,113476100000.0
Construction In Progress,2151300000.0
Other Properties,109672400000.0
Buildings And Improvements,1652400000.0
Properties,17068200000.0
Prepaid Assets,7838500000.0
Receivables,441349900000.0
Cash And Cash Equivalents,1539971200000.0
Cash Equivalents,79410700000.0
Cash Financial,98401000000.0
Cash Cash Equivalents And Federal Funds Sold,1539971200000.0
