metric,value
Free Cash Flow,-79400800000.0
Repayment Of Debt,0.0
Issuance Of Debt,219859800000.0
Issuance Of Capital Stock,5572000000.0
Capital Expenditure,-23854100000.0
End Cash Position,1164931800000.0
Beginning Cash Position,1087079300000.0
Effect Of Exchange Rate Changes,868300000.0
Changes In Cash,76984200000.0
Financing Cash Flow,223412500000.0
Net Other Financing Charges,1060500000.0
Cash Dividends Paid,-3079800000.0
Common Stock Dividend Paid,-3079800000.0
Net Common Stock Issuance,5572000000.0
Common Stock Issuance,5572000000.0
Net Issuance Payments Of Debt,219859800000.0
Net Long Term Debt Issuance,219859800000.0
Long Term Debt Payments,0.0
Long Term Debt Issuance,219859800000.0
Investing Cash Flow,-90881600000.0
Net Investment Purchase And Sale,-63819700000.0
Net Business Purchase And Sale,-3298500000.0
Purchase Of Business,-3298500000.0
Net PPE Purchase And Sale,-23763400000.0
Sale Of PPE,90700000.0
Purchase Of PPE,-23854100000.0
Operating Cash Flow,-55546700000.0
Taxes Refund Paid,-72311100000.0
Change In Working Capital,-427284000000.0
Change In Other Current Liabilities,25998600000.0
Change In Other Current Assets,91451700000.0
Other Non Cash Items,8941800000.0
Stock Based Compensation,5195700000.0
Provisionand Write Offof Assets,69575800000.0
Depreciation And Amortization,13884600000.0
Depreciation,13884600000.0
Gain Loss On Investment Securities,-4313200000.0
Gain Loss On Sale Of PPE,44200000.0
Net Income From Continuing Operations,350719500000.0
