metric,value
Tax Effect Of Unusual Items,614214629.596097
Tax Rate For Calcs,0.227209
Normalized EBITDA,78970100000.0
Total Unusual Items,2703300000.0
Total Unusual Items Excluding Goodwill,2703300000.0
Net Income From Continuing Operation Net Minority Interest,60602100000.0
Reconciled Depreciation,2858500000.0
Reconciled Cost Of Revenue,266577500000.0
EBITDA,81673400000.0
EBIT,78814900000.0
Net Interest Income,8062500000.0
Interest Expense,395100000.0
Interest Income,8457600000.0
Normalized Income,58513014629.5961
Net Income From Continuing And Discontinued Operation,60602100000.0
Total Expenses,293289800000.0
Rent Expense Supplemental,172200000.0
Diluted Average Shares,285206634.0
Basic Average Shares,285206634.0
Diluted EPS,212.5
Basic EPS,212.5
Diluted NI Availto Com Stockholders,60602100000.0
Net Income Common Stockholders,60602100000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,60602100000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,60602100000.0
Net Income Continuous Operations,60602100000.0
Tax Provision,17817700000.0
Pretax Income,78419800000.0
Other Non Operating Income Expenses,306300000.0
Special Income Charges,926600000.0
Other Special Charges,-986400000.0
Write Off,59800000.0
Net Non Operating Interest Income Expense,8062500000.0
Interest Expense Non Operating,395100000.0
Interest Income Non Operating,8457600000.0
Operating Income,60625400000.0
Operating Expense,26712300000.0
Other Operating Expenses,12106800000.0
Depreciation And Amortization In Income Statement,2858500000.0
Amortization,303500000.0
Depreciation Income Statement,2555000000.0
Selling General And Administration,6106100000.0
Selling And Marketing Expense,5962200000.0
General And Administrative Expense,143900000.0
Rent And Landing Fees,172200000.0
Gross Profit,87337700000.0
Cost Of Revenue,266577500000.0
Total Revenue,353915200000.0
Operating Revenue,353915200000.0
