metric,value
Treasury Shares Number,1714920.0
Ordinary Shares Number,1589659520.0
Share Issued,1591374440.0
Net Debt,1256277200000.0
Total Debt,1303796600000.0
Tangible Book Value,389493000000.0
Invested Capital,1699616800000.0
Net Tangible Assets,389493000000.0
Capital Lease Obligations,6647800000.0
Common Stock Equity,402468000000.0
Total Capitalization,1585483500000.0
Total Equity Gross Minority Interest,663199200000.0
Minority Interest,260731200000.0
Stockholders Equity,402468000000.0
Other Equity Interest,3771300000.0
Treasury Stock,1199700000.0
Retained Earnings,249497900000.0
Additional Paid In Capital,96119200000.0
Capital Stock,795700000.0
Common Stock,795700000.0
Total Liabilities Net Minority Interest,2673990400000.0
Derivative Product Liabilities,2197100000.0
Non Current Pension And Other Postretirement Benefit Plans,483700000.0
Non Current Deferred Taxes Liabilities,3057500000.0
Long Term Debt And Capital Lease Obligation,1189663300000.0
Long Term Capital Lease Obligation,6647800000.0
Long Term Debt,1183015500000.0
Long Term Provisions,2335900000.0
Current Debt And Capital Lease Obligation,114133300000.0
Current Debt,114133300000.0
Payables,67348200000.0
Other Payable,16065900000.0
Dividends Payable,22200000.0
Total Tax Payable,11170700000.0
Accounts Payable,40089400000.0
Total Assets,3337189600000.0
Non Current Deferred Taxes Assets,9511700000.0
Financial Assets,1366300000.0
Investments And Advances,1201411900000.0
Investmentin Financial Assets,793045800000.0
Available For Sale Securities,108800000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,682879500000.0
Long Term Equity Investment,133700000.0
Investmentsin Joint Venturesat Cost,133700000.0
Investment Properties,355900000.0
Goodwill And Other Intangible Assets,12975000000.0
Other Intangible Assets,6081600000.0
Goodwill,6893400000.0
Net PPE,24353200000.0
Accumulated Depreciation,-17943200000.0
Gross PPE,42296400000.0
Construction In Progress,1236600000.0
Other Properties,14419400000.0
Machinery Furniture Equipment,11235600000.0
Buildings And Improvements,10649700000.0
Land And Improvements,4755100000.0
Prepaid Assets,700200000.0
Other Receivables,18127900000.0
Taxes Receivable,7207600000.0
Accounts Receivable,30048100000.0
Cash Cash Equivalents And Short Term Investments,449104000000.0
Other Short Term Investments,408232400000.0
Cash And Cash Equivalents,40871600000.0
