metric,value
Free Cash Flow,-639768200000.0
Repayment Of Debt,-391244500000.0
Issuance Of Debt,937539500000.0
Issuance Of Capital Stock,5151000000.0
Capital Expenditure,-18635700000.0
End Cash Position,86707500000.0
Beginning Cash Position,85792300000.0
Changes In Cash,915200000.0
Financing Cash Flow,701913100000.0
Net Other Financing Charges,169877200000.0
Cash Dividends Paid,-15417100000.0
Common Stock Dividend Paid,-15417100000.0
Net Common Stock Issuance,5151000000.0
Common Stock Issuance,5151000000.0
Net Issuance Payments Of Debt,546295000000.0
Net Short Term Debt Issuance,87868100000.0
Short Term Debt Issuance,87868100000.0
Net Long Term Debt Issuance,458426900000.0
Long Term Debt Payments,-391244500000.0
Long Term Debt Issuance,849671400000.0
Investing Cash Flow,-79865400000.0
Net Other Investing Changes,65106800000.0
Interest Received Cfi,
Dividends Received Cfi,
Net Investment Purchase And Sale,-123916800000.0
Sale Of Investment,1873845200000.0
Purchase Of Investment,-1997762000000.0
Net Business Purchase And Sale,-2348200000.0
Purchase Of Business,-2348200000.0
Net Intangibles Purchase And Sale,-5403500000.0
Purchase Of Intangibles,-5403500000.0
Net PPE Purchase And Sale,-11749600000.0
Sale Of PPE,1482600000.0
Purchase Of PPE,-13232200000.0
Operating Cash Flow,-621132500000.0
Taxes Refund Paid,-70044600000.0
Interest Received Cfo,605301400000.0
Interest Paid Cfo,-224213500000.0
Change In Working Capital,-802795400000.0
Change In Other Current Liabilities,18534900000.0
Change In Other Current Assets,-938567300000.0
Change In Payable,18301900000.0
Change In Receivables,-23782800000.0
Other Non Cash Items,-437955700000.0
Stock Based Compensation,5456100000.0
Provisionand Write Offof Assets,38800000.0
Depreciation And Amortization,11703200000.0
Amortization Cash Flow,3560200000.0
Depreciation,8143000000.0
Pension And Employee Benefit Expense,-8700000.0
Gain Loss On Investment Securities,-25771900000.0
Gain Loss On Sale Of PPE,294000000.0
Net Income From Continuing Operations,237482100000.0
