metric,value
Tax Effect Of Unusual Items,54744.565059
Tax Rate For Calcs,0.273723
Total Unusual Items,200000.0
Total Unusual Items Excluding Goodwill,200000.0
Net Income From Continuing Operation Net Minority Interest,64172800000.0
Reconciled Depreciation,6778000000.0
EBIT,290125500000.0
Net Interest Income,-123802600000.0
Interest Expense,122014200000.0
Interest Income,402868600000.0
Normalized Income,64172654744.565056
Net Income From Continuing And Discontinued Operation,64172800000.0
Total Expenses,570347900000.0
Rent Expense Supplemental,67900000.0
Diluted Average Shares,1604279313.0
Basic Average Shares,1591378408.0
Diluted EPS,40.0
Basic EPS,40.3
Diluted NI Availto Com Stockholders,64172800000.0
Net Income Common Stockholders,64172800000.0
Net Income,64172800000.0
Minority Interests,-57922600000.0
Net Income Including Noncontrolling Interests,122095400000.0
Net Income Continuous Operations,122095400000.0
Tax Provision,46015900000.0
Pretax Income,168111300000.0
Other Income Expense,579400000.0
Special Income Charges,200000.0
Other Special Charges,-200000.0
Net Non Operating Interest Income Expense,-123802600000.0
Total Other Finance Cost,1788400000.0
Interest Expense Non Operating,122014200000.0
Other Operating Expenses,49736600000.0
Depreciation And Amortization In Income Statement,6778000000.0
Amortization,1975700000.0
Depreciation Income Statement,4802300000.0
Selling General And Administration,27531000000.0
Selling And Marketing Expense,25332500000.0
General And Administrative Expense,2198500000.0
Rent And Landing Fees,67900000.0
Total Revenue,738459200000.0
Operating Revenue,738459200000.0
Net Policyholder Benefits And Claims,166025800000.0
