metric,value
Treasury Shares Number,21493920.0
Ordinary Shares Number,6032798410.0
Share Issued,6054292330.0
Net Debt,1286728900000.0
Total Debt,1328883000000.0
Tangible Book Value,432581000000.0
Invested Capital,1761459300000.0
Net Tangible Assets,432581000000.0
Common Stock Equity,437126900000.0
Total Capitalization,1761459300000.0
Total Equity Gross Minority Interest,437126900000.0
Minority Interest,
Stockholders Equity,437126900000.0
Other Equity Interest,3971300000.0
Retained Earnings,192519900000.0
Additional Paid In Capital,172177700000.0
Capital Stock,1210900000.0
Common Stock,1210900000.0
Total Liabilities Net Minority Interest,1687931700000.0
Derivative Product Liabilities,1400200000.0
Long Term Debt And Capital Lease Obligation,1328883000000.0
Payables,21256600000.0
Other Payable,8663500000.0
Dividends Payable,17900000.0
Total Tax Payable,1000600000.0
Accounts Payable,11574600000.0
Total Assets,2125058600000.0
Investments And Advances,54125100000.0
Investmentin Financial Assets,54125100000.0
Available For Sale Securities,38272600000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,14633500000.0
Long Term Equity Investment,0.0
Investmentsin Associatesat Cost,0.0
Goodwill And Other Intangible Assets,4545900000.0
Other Intangible Assets,4513200000.0
Goodwill,32700000.0
Net PPE,13364100000.0
Accumulated Depreciation,-9037100000.0
Gross PPE,22401200000.0
Construction In Progress,538300000.0
Other Properties,1733500000.0
Machinery Furniture Equipment,7360600000.0
Buildings And Improvements,10802900000.0
Land And Improvements,1965900000.0
Prepaid Assets,2098100000.0
Receivables,14987400000.0
Taxes Receivable,1683000000.0
Cash And Cash Equivalents,37603500000.0
Cash Financial,537200000.0
Cash Cash Equivalents And Federal Funds Sold,71333200000.0
