metric,value
Free Cash Flow,-377240700000.0
Repayment Of Debt,-184356100000.0
Issuance Of Debt,417909700000.0
Issuance Of Capital Stock,1729000000.0
Capital Expenditure,-6341700000.0
End Cash Position,33814400000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,18493300000.0
Changes In Cash,15321100000.0
Financing Cash Flow,322752200000.0
Net Other Financing Charges,47836800000.0
Cash Dividends Paid,-6026300000.0
Common Stock Dividend Paid,-6026300000.0
Net Common Stock Issuance,1729000000.0
Common Stock Issuance,1729000000.0
Net Issuance Payments Of Debt,280271600000.0
Net Short Term Debt Issuance,46718000000.0
Short Term Debt Issuance,
Net Long Term Debt Issuance,233553600000.0
Long Term Debt Payments,-184356100000.0
Long Term Debt Issuance,417909700000.0
Investing Cash Flow,63467900000.0
Interest Received Cfi,4005800000.0
Dividends Received Cfi,
Net Investment Purchase And Sale,65612400000.0
Sale Of Investment,2477421300000.0
Purchase Of Investment,-2411808900000.0
Net Business Purchase And Sale,0.0
Purchase Of Business,
Net Intangibles Purchase And Sale,-2586200000.0
Purchase Of Intangibles,-2586200000.0
Net PPE Purchase And Sale,-3564100000.0
Sale Of PPE,191400000.0
Purchase Of PPE,-3755500000.0
Operating Cash Flow,-370899000000.0
Taxes Refund Paid,-25861000000.0
Interest Received Cfo,276273600000.0
Interest Paid Cfo,-90026500000.0
Change In Working Capital,-501758700000.0
Change In Other Current Liabilities,1142100000.0
Change In Other Current Assets,-234800000.0
Change In Payable,4138900000.0
Change In Receivables,-3209300000.0
Other Non Cash Items,-175985000000.0
Stock Based Compensation,1612300000.0
Provisionand Write Offof Assets,48034000000.0
Depreciation And Amortization,3845700000.0
Amortization Cash Flow,968800000.0
Depreciation,2876900000.0
Gain Loss On Investment Securities,-3277300000.0
Gain Loss On Sale Of PPE,248400000.0
Net Income From Continuing Operations,95037800000.0
