metric,value
Tax Effect Of Unusual Items,-161708940.0
Tax Rate For Calcs,0.2589
Total Unusual Items,-624600000.0
Total Unusual Items Excluding Goodwill,-624600000.0
Net Income From Continuing Operation Net Minority Interest,115076900000.0
Reconciled Depreciation,4853800000.0
Net Interest Income,229890600000.0
Interest Expense,125598900000.0
Interest Income,355489500000.0
Normalized Income,115539791060.0
Net Income From Continuing And Discontinued Operation,115076900000.0
Diluted Average Shares,6070447270.0
Basic Average Shares,6039767500.0
Diluted EPS,18.957
Basic EPS,19.053
Diluted NI Availto Com Stockholders,115076900000.0
Net Income Common Stockholders,115076900000.0
Net Income,115076900000.0
Minority Interests,
Net Income Including Noncontrolling Interests,115076900000.0
Net Income Continuous Operations,115076900000.0
Tax Provision,40201700000.0
Pretax Income,155278600000.0
Special Income Charges,-624600000.0
Other Special Charges,133300000.0
Write Off,491300000.0
Gain On Sale Of Security,3290600000.0
Operating Expense,82377300000.0
Other Operating Expenses,21227400000.0
Depreciation And Amortization In Income Statement,4853800000.0
Depreciation Income Statement,4853800000.0
Selling General And Administration,3913600000.0
Selling And Marketing Expense,3619900000.0
General And Administrative Expense,293700000.0
Insurance And Claims,62600000.0
Rent And Landing Fees,568300000.0
Total Revenue,269669000000.0
Operating Revenue,269669000000.0
