metric,value
Tax Effect Of Unusual Items,-28449493650.918842
Tax Rate For Calcs,0.325026
Normalized EBITDA,769255000000.0
Total Unusual Items,-87530000000.0
Total Unusual Items Excluding Goodwill,-87530000000.0
Net Income From Continuing Operation Net Minority Interest,74670000000.0
Reconciled Depreciation,395376000000.0
Reconciled Cost Of Revenue,535521000000.0
EBITDA,681725000000.0
EBIT,286349000000.0
Net Interest Income,-183088000000.0
Interest Expense,159559000000.0
Interest Income,6493000000.0
Normalized Income,133750506349.08116
Net Income From Continuing And Discontinued Operation,74670000000.0
Total Expenses,1127508000000.0
Diluted Average Shares,5835551000.0
Basic Average Shares,5703364000.0
Diluted EPS,12.8
Basic EPS,13.09
Diluted NI Availto Com Stockholders,74670000000.0
Average Dilution Earnings,
Net Income Common Stockholders,74670000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,74670000000.0
Minority Interests,-10910000000.0
Net Income Including Noncontrolling Interests,85580000000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,85580000000.0
Tax Provision,41210000000.0
Pretax Income,126790000000.0
Other Non Operating Income Expenses,2019000000.0
Special Income Charges,-83856000000.0
Other Special Charges,75072000000.0
Write Off,8784000000.0
Impairment Of Capital Assets,
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-183088000000.0
Total Other Finance Cost,30022000000.0
Interest Expense Non Operating,159559000000.0
Interest Income Non Operating,6493000000.0
Operating Income,372316000000.0
Operating Expense,591987000000.0
Other Operating Expenses,33691000000.0
Depreciation And Amortization In Income Statement,395376000000.0
Amortization,89873000000.0
Depreciation Income Statement,305503000000.0
Selling General And Administration,112235000000.0
Selling And Marketing Expense,107882000000.0
General And Administrative Expense,4353000000.0
Gross Profit,964303000000.0
Cost Of Revenue,535521000000.0
Total Revenue,1499824000000.0
Operating Revenue,1499824000000.0
