metric,value
Tax Effect Of Unusual Items,-744073408.0
Tax Rate For Calcs,0.25792
Normalized EBITDA,473546000000.0
Total Unusual Items,-2884900000.0
Total Unusual Items Excluding Goodwill,-2884900000.0
Net Income From Continuing Operation Net Minority Interest,268588400000.0
Reconciled Depreciation,67712600000.0
Reconciled Cost Of Revenue,3891367400000.0
EBITDA,470661100000.0
EBIT,402948500000.0
Net Interest Income,-27375100000.0
Interest Expense,41004100000.0
Interest Income,13733100000.0
Normalized Income,270729226592.0
Net Income From Continuing And Discontinued Operation,268588400000.0
Total Expenses,4089925200000.0
Rent Expense Supplemental,6673700000.0
Diluted Average Shares,4260800000.0
Basic Average Shares,4260800000.0
Diluted EPS,63.04
Basic EPS,63.04
Diluted NI Availto Com Stockholders,268588400000.0
Net Income Common Stockholders,268588400000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,268588400000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,268588400000.0
Net Income Continuous Operations,268588400000.0
Tax Provision,93356000000.0
Pretax Income,361944400000.0
Other Non Operating Income Expenses,6469700000.0
Special Income Charges,-3537400000.0
Other Special Charges,2678400000.0
Write Off,28700000.0
Impairment Of Capital Assets,830300000.0
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-27375100000.0
Total Other Finance Cost,104100000.0
Interest Expense Non Operating,41004100000.0
Interest Income Non Operating,13733100000.0
Operating Income,376737400000.0
Operating Expense,198557800000.0
Other Operating Expenses,160916800000.0
Selling General And Administration,10335200000.0
General And Administrative Expense,10335200000.0
Rent And Landing Fees,6673700000.0
Gross Profit,575295200000.0
Cost Of Revenue,3891367400000.0
Total Revenue,4466662600000.0
Operating Revenue,4466662600000.0
