metric,value
Tax Effect Of Unusual Items,977381640.0
Tax Rate For Calcs,0.2367
Normalized EBITDA,30114700000.0
Total Unusual Items,4129200000.0
Total Unusual Items Excluding Goodwill,4129200000.0
Net Income From Continuing Operation Net Minority Interest,23217700000.0
Reconciled Depreciation,2259100000.0
Reconciled Cost Of Revenue,96416300000.0
EBITDA,34243900000.0
EBIT,31984800000.0
Net Interest Income,-59500000.0
Interest Expense,1657100000.0
Interest Income,1631500000.0
Normalized Income,20065881640.0
Net Income From Continuing And Discontinued Operation,23217700000.0
Total Expenses,133743100000.0
Rent Expense Supplemental,871100000.0
Diluted Average Shares,240868296.0
Basic Average Shares,240868296.0
Diluted EPS,96.39
Basic EPS,96.39
Diluted NI Availto Com Stockholders,23217700000.0
Net Income Common Stockholders,23217700000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,23217700000.0
Minority Interests,54500000.0
Net Income Including Noncontrolling Interests,23163200000.0
Net Income Continuous Operations,23163200000.0
Tax Provision,7164500000.0
Pretax Income,30327700000.0
Other Non Operating Income Expenses,61900000.0
Special Income Charges,3708400000.0
Other Special Charges,-3764300000.0
Write Off,55900000.0
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-59500000.0
Total Other Finance Cost,33900000.0
Interest Expense Non Operating,1657100000.0
Interest Income Non Operating,1631500000.0
Operating Income,26105900000.0
Operating Expense,37326800000.0
Other Operating Expenses,16978700000.0
Depreciation And Amortization In Income Statement,2259100000.0
Amortization,
Depreciation Income Statement,2259100000.0
Selling General And Administration,13790600000.0
Selling And Marketing Expense,13654600000.0
General And Administrative Expense,136000000.0
Rent And Landing Fees,871100000.0
Gross Profit,63432700000.0
Cost Of Revenue,96416300000.0
Total Revenue,159849000000.0
Operating Revenue,159849000000.0
