metric,value
Free Cash Flow,27846100000.0
Repayment Of Debt,-3004600000.0
Issuance Of Debt,0.0
Issuance Of Capital Stock,400000.0
Capital Expenditure,-13493000000.0
End Cash Position,5123400000.0
Beginning Cash Position,5613300000.0
Effect Of Exchange Rate Changes,55600000.0
Changes In Cash,-545500000.0
Financing Cash Flow,-12004300000.0
Net Other Financing Charges,-719900000.0
Interest Paid Cff,-648300000.0
Cash Dividends Paid,-6861700000.0
Common Stock Dividend Paid,-6861700000.0
Net Common Stock Issuance,400000.0
Common Stock Issuance,400000.0
Net Issuance Payments Of Debt,-3004600000.0
Net Short Term Debt Issuance,-3004600000.0
Short Term Debt Payments,-3004600000.0
Net Long Term Debt Issuance,0.0
Long Term Debt Payments,0.0
Long Term Debt Issuance,0.0
Investing Cash Flow,-29880300000.0
Net Other Investing Changes,466000000.0
Interest Received Cfi,2082300000.0
Dividends Received Cfi,
Net Investment Purchase And Sale,-16965000000.0
Sale Of Investment,6000000.0
Purchase Of Investment,-16971000000.0
Net Business Purchase And Sale,-2224900000.0
Sale Of Business,1204000000.0
Purchase Of Business,-3428900000.0
Net Intangibles Purchase And Sale,-2510500000.0
Sale Of Intangibles,0.0
Purchase Of Intangibles,-2510500000.0
Net PPE Purchase And Sale,-10640800000.0
Sale Of PPE,341700000.0
Purchase Of PPE,-10982500000.0
Operating Cash Flow,41339100000.0
Taxes Refund Paid,-15974800000.0
Change In Working Capital,-8061000000.0
Change In Payable,1627100000.0
Change In Inventory,-618600000.0
Change In Receivables,-9069500000.0
Other Non Cash Items,-1615100000.0
Stock Based Compensation,461600000.0
Provisionand Write Offof Assets,235100000.0
Depreciation And Amortization,10510200000.0
Amortization Cash Flow,2378700000.0
Depreciation,10510200000.0
Gain Loss On Investment Securities,-2911800000.0
Net Foreign Currency Exchange Gain Loss,-228100000.0
Gain Loss On Sale Of PPE,-34900000.0
Gain Loss On Sale Of Business,-9300000.0
Net Income From Continuing Operations,58967200000.0
