metric,value
Tax Effect Of Unusual Items,-336584160.0
Tax Rate For Calcs,0.2673
Normalized EBITDA,47141200000.0
Total Unusual Items,-1259200000.0
Total Unusual Items Excluding Goodwill,-1259200000.0
Net Income From Continuing Operation Net Minority Interest,25167500000.0
Reconciled Depreciation,9900800000.0
Reconciled Cost Of Revenue,92297200000.0
EBITDA,45882000000.0
EBIT,35981200000.0
Net Interest Income,-267300000.0
Interest Expense,1048500000.0
Interest Income,796200000.0
Normalized Income,26090115840.0
Net Income From Continuing And Discontinued Operation,25167500000.0
Total Expenses,180529300000.0
Rent Expense Supplemental,781800000.0
Diluted Average Shares,807440947.0
Basic Average Shares,806668279.0
Diluted EPS,31.17
Basic EPS,31.2
Diluted NI Availto Com Stockholders,25167500000.0
Net Income Common Stockholders,25167500000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,25167500000.0
Minority Interests,-299000000.0
Net Income Including Noncontrolling Interests,25466500000.0
Net Income Continuous Operations,25466500000.0
Tax Provision,9338000000.0
Pretax Income,34932700000.0
Other Non Operating Income Expenses,538600000.0
Special Income Charges,-2051600000.0
Other Special Charges,1432900000.0
Impairment Of Capital Assets,618700000.0
Net Non Operating Interest Income Expense,-267300000.0
Total Other Finance Cost,15000000.0
Interest Expense Non Operating,1048500000.0
Interest Income Non Operating,796200000.0
Operating Income,35704300000.0
Operating Expense,88232100000.0
Other Operating Expenses,16064000000.0
Depreciation And Amortization In Income Statement,9900800000.0
Amortization,3065200000.0
Depreciation Income Statement,6835600000.0
Research And Development,2656800000.0
Selling General And Administration,24819700000.0
Selling And Marketing Expense,16700000000.0
General And Administrative Expense,8119700000.0
Rent And Landing Fees,781800000.0
Gross Profit,123936400000.0
Cost Of Revenue,92297200000.0
Total Revenue,216233600000.0
Operating Revenue,216233600000.0
