metric,value
Free Cash Flow,12817600000.0
Capital Expenditure,-168213400000.0
End Cash Position,53454600000.0
Beginning Cash Position,56274300000.0
Changes In Cash,-2819700000.0
Financing Cash Flow,-138992700000.0
Interest Paid Cff,-2243000000.0
Cash Dividends Paid,-150978500000.0
Common Stock Dividend Paid,
Net Issuance Payments Of Debt,14959900000.0
Net Short Term Debt Issuance,-51300000.0
Net Long Term Debt Issuance,15011200000.0
Investing Cash Flow,-44858000000.0
Interest Received Cfi,29468900000.0
Net Investment Purchase And Sale,96642500000.0
Net Business Purchase And Sale,-3470200000.0
Purchase Of Business,-3470200000.0
Net PPE Purchase And Sale,-167499200000.0
Sale Of PPE,714200000.0
Purchase Of PPE,-168213400000.0
Operating Cash Flow,181031000000.0
Taxes Refund Paid,-117266900000.0
Change In Working Capital,-186219500000.0
Change In Other Current Liabilities,7292700000.0
Change In Other Current Assets,-51012000000.0
Change In Payable,-1635300000.0
Change In Inventory,-20670800000.0
Change In Receivables,-7001500000.0
Other Non Cash Items,-79263300000.0
Provisionand Write Offof Assets,11897900000.0
Depreciation And Amortization,67444900000.0
Amortization Cash Flow,1932400000.0
Depreciation,65512500000.0
Gain Loss On Investment Securities,
Net Foreign Currency Exchange Gain Loss,-47800000.0
Gain Loss On Sale Of PPE,-188500000.0
Net Income From Continuing Operations,488126100000.0
