metric,value
Tax Effect Of Unusual Items,301259520.0
Tax Rate For Calcs,0.2484
Normalized EBITDA,566641000000.0
Total Unusual Items,1212800000.0
Total Unusual Items Excluding Goodwill,1212800000.0
Net Income From Continuing Operation Net Minority Interest,353581600000.0
Reconciled Depreciation,91607200000.0
Reconciled Cost Of Revenue,210412900000.0
EBITDA,567853800000.0
EBIT,476246600000.0
Net Interest Income,44712800000.0
Interest Expense,6584700000.0
Interest Income,53549300000.0
Normalized Income,352670059520.0
Net Income From Continuing And Discontinued Operation,353581600000.0
Total Expenses,848295400000.0
Rent Expense Supplemental,
Diluted Average Shares,6162728327.0
Basic Average Shares,6162728327.0
Diluted EPS,57.37
Basic EPS,57.37
Diluted NI Availto Com Stockholders,353581600000.0
Net Income Common Stockholders,353581600000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,353581600000.0
Minority Interests,560600000.0
Net Income Including Noncontrolling Interests,353021000000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,353021000000.0
Tax Provision,116640900000.0
Pretax Income,469661900000.0
Other Non Operating Income Expenses,24790700000.0
Special Income Charges,-1875200000.0
Other Special Charges,5300000.0
Write Off,1869900000.0
Net Non Operating Interest Income Expense,44712800000.0
Total Other Finance Cost,2251800000.0
Interest Expense Non Operating,6584700000.0
Interest Income Non Operating,53549300000.0
Operating Income,394393300000.0
Operating Expense,637882500000.0
Other Operating Expenses,362108700000.0
Research And Development,2208900000.0
Selling General And Administration,7466800000.0
Selling And Marketing Expense,1130300000.0
General And Administrative Expense,6336500000.0
Rent And Landing Fees,6845000000.0
Gross Profit,1032275800000.0
Cost Of Revenue,210412900000.0
Total Revenue,1242688700000.0
Operating Revenue,1242688700000.0
