metric,value
Tax Effect Of Unusual Items,1176250000.0
Tax Rate For Calcs,0.25
Normalized EBITDA,91966000000.0
Total Unusual Items,4705000000.0
Total Unusual Items Excluding Goodwill,4705000000.0
Net Income From Continuing Operation Net Minority Interest,56544000000.0
Reconciled Depreciation,17058000000.0
Reconciled Cost Of Revenue,135107000000.0
EBITDA,96671000000.0
EBIT,79613000000.0
Net Interest Income,-152000000.0
Interest Expense,2829000000.0
Interest Income,2677000000.0
Normalized Income,53015250000.0
Net Income From Continuing And Discontinued Operation,56544000000.0
Total Expenses,253521000000.0
Total Operating Income As Reported,71843000000.0
Diluted Average Shares,834208585.0
Basic Average Shares,832979820.0
Diluted EPS,67.79
Basic EPS,67.89
Diluted NI Availto Com Stockholders,56544000000.0
Net Income Common Stockholders,56544000000.0
Net Income,56544000000.0
Minority Interests,-701000000.0
Net Income Including Noncontrolling Interests,57245000000.0
Net Income Continuous Operations,57245000000.0
Tax Provision,19539000000.0
Pretax Income,76784000000.0
Other Income Expense,4922000000.0
Special Income Charges,-171000000.0
Gain On Sale Of Ppe,1522000000.0
Other Special Charges,
Write Off,
Impairment Of Capital Assets,1693000000.0
Earnings From Equity Interest,217000000.0
Gain On Sale Of Security,4876000000.0
Net Non Operating Interest Income Expense,-152000000.0
Total Other Finance Cost,
Interest Expense Non Operating,2829000000.0
Interest Income Non Operating,2677000000.0
Operating Income,72014000000.0
Operating Expense,118414000000.0
Other Operating Expenses,-2836000000.0
Research And Development,27380000000.0
Selling General And Administration,93870000000.0
Gross Profit,190428000000.0
Cost Of Revenue,135107000000.0
Total Revenue,325535000000.0
Operating Revenue,325535000000.0
