metric,value
Free Cash Flow,-56258700000.0
Repurchase Of Capital Stock,-13288800000.0
Repayment Of Debt,-20770200000.0
Issuance Of Debt,105216000000.0
Capital Expenditure,-88305600000.0
End Cash Position,2437700000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,15198000000.0
Effect Of Exchange Rate Changes,1873400000.0
Changes In Cash,-14633700000.0
Financing Cash Flow,29720600000.0
Net Other Financing Charges,
Interest Paid Cff,-7615100000.0
Cash Dividends Paid,-30692500000.0
Common Stock Dividend Paid,-30692500000.0
Net Common Stock Issuance,-13288800000.0
Common Stock Payments,-13288800000.0
Net Issuance Payments Of Debt,84445800000.0
Net Long Term Debt Issuance,84445800000.0
Long Term Debt Payments,-20770200000.0
Long Term Debt Issuance,105216000000.0
Investing Cash Flow,-76401200000.0
Net Other Investing Changes,-700000.0
Interest Received Cfi,1277000000.0
Dividends Received Cfi,2916300000.0
Net Investment Purchase And Sale,68100000.0
Sale Of Investment,111198100000.0
Purchase Of Investment,-111130000000.0
Net Business Purchase And Sale,4530300000.0
Sale Of Business,4530300000.0
Purchase Of Business,
Net PPE Purchase And Sale,-87530700000.0
Sale Of PPE,774900000.0
Purchase Of PPE,-88305600000.0
Operating Cash Flow,32046900000.0
Taxes Refund Paid,-16137600000.0
Change In Working Capital,-34290900000.0
Change In Payable,12563700000.0
Change In Inventory,-23410500000.0
Change In Receivables,-23444100000.0
Other Non Cash Items,-587800000.0
Provisionand Write Offof Assets,1194500000.0
Depreciation And Amortization,27959900000.0
Depreciation,27959900000.0
Pension And Employee Benefit Expense,2554500000.0
Gain Loss On Investment Securities,-5337900000.0
Net Foreign Currency Exchange Gain Loss,0.0
Net Income From Continuing Operations,72563800000.0
