metric,value
Tax Effect Of Unusual Items,86200913.265292
Tax Rate For Calcs,0.228832
Normalized EBITDA,103855000000.0
Total Unusual Items,376700000.0
Total Unusual Items Excluding Goodwill,376700000.0
Net Income From Continuing Operation Net Minority Interest,56160000000.0
Reconciled Depreciation,27959900000.0
Reconciled Cost Of Revenue,1348377200000.0
EBITDA,104231700000.0
EBIT,76271800000.0
Net Interest Income,-426700000.0
Interest Expense,3708000000.0
Interest Income,3281300000.0
Normalized Income,55869500913.26529
Net Income From Continuing And Discontinued Operation,56160000000.0
Total Expenses,1403458300000.0
Rent Expense Supplemental,1273000000.0
Diluted Average Shares,6594100000.0
Basic Average Shares,6594100000.0
Diluted EPS,8.52
Basic EPS,8.52
Diluted NI Availto Com Stockholders,56160000000.0
Net Income Common Stockholders,56160000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,56160000000.0
Minority Interests,201100000.0
Net Income Including Noncontrolling Interests,55958900000.0
Net Income Continuous Operations,55958900000.0
Tax Provision,16604900000.0
Pretax Income,72563800000.0
Other Non Operating Income Expenses,491300000.0
Special Income Charges,-902500000.0
Other Special Charges,213300000.0
Write Off,502600000.0
Impairment Of Capital Assets,186600000.0
Net Non Operating Interest Income Expense,-426700000.0
Interest Expense Non Operating,3708000000.0
Interest Income Non Operating,3281300000.0
Operating Income,49787400000.0
Operating Expense,55081100000.0
Other Operating Expenses,8635900000.0
Depreciation And Amortization In Income Statement,27959900000.0
Depreciation Income Statement,27959900000.0
Research And Development,123900000.0
Selling General And Administration,3442100000.0
Selling And Marketing Expense,1401100000.0
General And Administrative Expense,2041000000.0
Rent And Landing Fees,1273000000.0
Gross Profit,104868500000.0
Cost Of Revenue,1348377200000.0
Total Revenue,1453245700000.0
Operating Revenue,1453245700000.0
