metric,value
Treasury Shares Number,17069.0
Ordinary Shares Number,15304409210.0
Share Issued,15304443348.0
Net Debt,3949853200000.0
Total Debt,7326106100000.0
Tangible Book Value,4676501100000.0
Invested Capital,14849067700000.0
Net Tangible Assets,4676501100000.0
Capital Lease Obligations,153929800000.0
Common Stock Equity,7676891400000.0
Total Capitalization,13543054600000.0
Total Equity Gross Minority Interest,8622891000000.0
Minority Interest,945999600000.0
Stockholders Equity,7676891400000.0
Other Equity Interest,
Gains Losses Not Affecting Retained Earnings,1150940300000.0
Other Equity Adjustments,1150940300000.0
Treasury Stock,16864000000.0
Retained Earnings,2099097200000.0
Additional Paid In Capital,4436065700000.0
Capital Stock,7652200000.0
Common Stock,7652200000.0
Total Liabilities Net Minority Interest,39564780100000.0
Derivative Product Liabilities,143566100000.0
Non Current Deferred Liabilities,324633500000.0
Non Current Deferred Taxes Liabilities,324633500000.0
Long Term Debt And Capital Lease Obligation,6020093000000.0
Long Term Capital Lease Obligation,153929800000.0
Long Term Debt,5866163200000.0
Current Debt And Capital Lease Obligation,1306013100000.0
Current Debt,1306013100000.0
Other Current Borrowings,1306013100000.0
Current Notes Payable,0.0
Payables And Accrued Expenses,815324800000.0
Current Accrued Expenses,101945200000.0
Payables,713379600000.0
Other Payable,136539100000.0
Accounts Payable,576840500000.0
Total Assets,48187671100000.0
Investments And Advances,6981246400000.0
Available For Sale Securities,381931600000.0
Trading Securities,625388500000.0
Goodwill And Other Intangible Assets,3000390300000.0
Other Intangible Assets,1370880000000.0
Goodwill,1629510300000.0
Net PPE,314735300000.0
Accumulated Depreciation,-185447800000.0
Gross PPE,500183100000.0
Other Properties,142297400000.0
Machinery Furniture Equipment,284224300000.0
Properties,73661400000.0
Prepaid Assets,223008200000.0
Receivables,454645400000.0
Other Receivables,131414700000.0
Accounts Receivable,323230700000.0
Other Short Term Investments,5973926300000.0
Cash And Cash Equivalents,3222323100000.0
Cash Financial,
Cash Cash Equivalents And Federal Funds Sold,7576597900000.0
