metric,value
Free Cash Flow,15340400000.0
Repayment Of Debt,
Issuance Of Debt,204600000.0
Issuance Of Capital Stock,50400000.0
Capital Expenditure,-5696600000.0
End Cash Position,1810200000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,2746200000.0
Changes In Cash,-936000000.0
Financing Cash Flow,-19753300000.0
Net Other Financing Charges,-11200000.0
Interest Paid Cff,-528500000.0
Cash Dividends Paid,-19072700000.0
Net Common Stock Issuance,50400000.0
Common Stock Issuance,50400000.0
Net Issuance Payments Of Debt,114500000.0
Net Short Term Debt Issuance,204600000.0
Short Term Debt Payments,
Short Term Debt Issuance,204600000.0
Net Long Term Debt Issuance,-90100000.0
Investing Cash Flow,-2219700000.0
Net Other Investing Changes,-98200000.0
Interest Received Cfi,1573900000.0
Dividends Received Cfi,69100000.0
Net Investment Purchase And Sale,3323900000.0
Sale Of Investment,424374900000.0
Purchase Of Investment,-421051000000.0
Net Business Purchase And Sale,-1500000000.0
Purchase Of Business,-1500000000.0
Net PPE Purchase And Sale,108200000.0
Sale Of PPE,108200000.0
Capital Expenditure Reported,-5696600000.0
Operating Cash Flow,21037000000.0
Taxes Refund Paid,-7840800000.0
Change In Working Capital,-6684700000.0
Change In Other Current Liabilities,-707400000.0
Change In Other Current Assets,-1100600000.0
Change In Payable,-9210900000.0
Change In Inventory,3168600000.0
Change In Receivables,1148900000.0
Other Non Cash Items,-1359500000.0
Stock Based Compensation,100000000.0
Provisionand Write Offof Assets,529800000.0
Deferred Tax,7290600000.0
Depreciation And Amortization,6895200000.0
Amortization Cash Flow,
Depreciation,6895200000.0
Gain Loss On Investment Securities,-3346000000.0
Net Foreign Currency Exchange Gain Loss,75300000.0
Gain Loss On Sale Of PPE,96100000.0
Net Income From Continuing Operations,23290500000.0
