metric,value
Tax Effect Of Unusual Items,828814088.342021
Tax Rate For Calcs,0.275317
Normalized EBITDA,43648400000.0
Total Unusual Items,3010400000.0
Total Unusual Items Excluding Goodwill,3010400000.0
Net Income From Continuing Operation Net Minority Interest,28099600000.0
Reconciled Depreciation,6973900000.0
Reconciled Cost Of Revenue,240344000000.0
EBITDA,46658800000.0
EBIT,39684900000.0
Net Interest Income,1559400000.0
Interest Expense,1048700000.0
Interest Income,2608100000.0
Normalized Income,25918014088.342022
Net Income From Continuing And Discontinued Operation,28099600000.0
Total Expenses,302891600000.0
Rent Expense Supplemental,418300000.0
Diluted Average Shares,200014165.0
Basic Average Shares,199825061.0
Diluted EPS,140.49
Basic EPS,140.62
Diluted NI Availto Com Stockholders,28099600000.0
Net Income Common Stockholders,28099600000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,28099600000.0
Minority Interests,100600000.0
Net Income Including Noncontrolling Interests,27999000000.0
Net Income Continuous Operations,27999000000.0
Tax Provision,10637200000.0
Pretax Income,38636200000.0
Other Non Operating Income Expenses,5690100000.0
Special Income Charges,7300000.0
Other Special Charges,-7300000.0
Restructuring And Mergern Acquisition,0.0
Net Non Operating Interest Income Expense,1559400000.0
Interest Expense Non Operating,1048700000.0
Interest Income Non Operating,2608100000.0
Operating Income,34485600000.0
Operating Expense,62547600000.0
Other Operating Expenses,17443000000.0
Depreciation And Amortization In Income Statement,6973900000.0
Amortization,
Depreciation Income Statement,6973900000.0
Selling General And Administration,19418500000.0
Selling And Marketing Expense,18620100000.0
General And Administrative Expense,798400000.0
Rent And Landing Fees,418300000.0
Gross Profit,97033200000.0
Cost Of Revenue,240344000000.0
Total Revenue,337377200000.0
Operating Revenue,337377200000.0
