metric,value
Tax Effect Of Unusual Items,-4781733932.767957
Tax Rate For Calcs,0.274497
Normalized EBITDA,312660000000.0
Total Unusual Items,-17420000000.0
Total Unusual Items Excluding Goodwill,-17420000000.0
Net Income From Continuing Operation Net Minority Interest,142010000000.0
Reconciled Depreciation,67290000000.0
Reconciled Cost Of Revenue,1287360000000.0
EBITDA,295240000000.0
EBIT,227950000000.0
Net Interest Income,-30610000000.0
Interest Expense,32210000000.0
Interest Income,2250000000.0
Normalized Income,154648266067.23206
Net Income From Continuing And Discontinued Operation,137300000000.0
Total Expenses,1710390000000.0
Rent Expense Supplemental,3070000000.0
Diluted Average Shares,2227040020.0
Basic Average Shares,2224071351.0
Diluted EPS,61.65
Basic EPS,61.73
Diluted NI Availto Com Stockholders,137300000000.0
Net Income Common Stockholders,137300000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,137300000000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,137300000000.0
Net Income Discontinuous Operations,-4710000000.0
Net Income Continuous Operations,142010000000.0
Tax Provision,53730000000.0
Pretax Income,195740000000.0
Other Non Operating Income Expenses,3450000000.0
Special Income Charges,-3050000000.0
Other Special Charges,400000000.0
Write Off,3100000000.0
Impairment Of Capital Assets,1550000000.0
Restructuring And Mergern Acquisition,-450000000.0
Net Non Operating Interest Income Expense,-30610000000.0
Total Other Finance Cost,650000000.0
Interest Expense Non Operating,32210000000.0
Interest Income Non Operating,2250000000.0
Operating Income,228490000000.0
Operating Expense,423030000000.0
Other Operating Expenses,224500000000.0
Research And Development,7160000000.0
Selling General And Administration,70960000000.0
Selling And Marketing Expense,66360000000.0
General And Administrative Expense,4600000000.0
Rent And Landing Fees,3070000000.0
Gross Profit,651520000000.0
Cost Of Revenue,1287360000000.0
Total Revenue,1938880000000.0
Operating Revenue,1938880000000.0
