metric,value
Tax Effect Of Unusual Items,37350000.0
Tax Rate For Calcs,0.249
Normalized EBITDA,130710000000.0
Total Unusual Items,150000000.0
Total Unusual Items Excluding Goodwill,150000000.0
Net Income From Continuing Operation Net Minority Interest,88740000000.0
Reconciled Depreciation,11060000000.0
Reconciled Cost Of Revenue,265870000000.0
EBITDA,130860000000.0
EBIT,119800000000.0
Net Interest Income,920000000.0
Interest Expense,1060000000.0
Interest Income,1980000000.0
Normalized Income,88627350000.0
Net Income From Continuing And Discontinued Operation,88770000000.0
Total Expenses,397820000000.0
Rent Expense Supplemental,820000000.0
Diluted Average Shares,2349591262.0
Basic Average Shares,2349587637.0
Diluted EPS,37.79
Basic EPS,37.79
Diluted NI Availto Com Stockholders,88790000000.0
Net Income Common Stockholders,88790000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,88790000000.0
Minority Interests,-130000000.0
Net Income Including Noncontrolling Interests,88920000000.0
Net Income Extraordinary,20000000.0
Net Income Discontinuous Operations,30000000.0
Net Income Continuous Operations,88870000000.0
Tax Provision,29870000000.0
Pretax Income,118740000000.0
Other Non Operating Income Expenses,2580000000.0
Special Income Charges,-440000000.0
Other Special Charges,-1690000000.0
Restructuring And Mergern Acquisition,2130000000.0
Net Non Operating Interest Income Expense,920000000.0
Total Other Finance Cost,20000000.0
Interest Expense Non Operating,1060000000.0
Interest Income Non Operating,1980000000.0
Operating Income,117660000000.0
Operating Expense,131950000000.0
Other Operating Expenses,37570000000.0
Depreciation And Amortization In Income Statement,10910000000.0
Amortization,260000000.0
Depreciation Income Statement,10650000000.0
Selling General And Administration,66180000000.0
Selling And Marketing Expense,66180000000.0
Rent And Landing Fees,820000000.0
Gross Profit,249610000000.0
Cost Of Revenue,265870000000.0
Total Revenue,515480000000.0
Operating Revenue,515480000000.0
