metric,value
Tax Effect Of Unusual Items,162773700.0
Tax Rate For Calcs,0.3
Total Unusual Items,542579000.0
Total Unusual Items Excluding Goodwill,542579000.0
Net Income From Continuing Operation Net Minority Interest,340366408000.0
Reconciled Depreciation,16351038000.0
Net Interest Income,705234219000.0
Interest Expense,505433879000.0
Interest Income,1210668098000.0
Normalized Income,339986602700.0
Net Income From Continuing And Discontinued Operation,340366408000.0
Rent Expense Supplemental,15846567000.0
Diluted Average Shares,7114682274.0
Basic Average Shares,6966156365.0
Diluted EPS,47.84
Basic EPS,48.86
Diluted NI Availto Com Stockholders,340366408000.0
Average Dilution Earnings,
Net Income Common Stockholders,340366408000.0
Net Income,340366408000.0
Minority Interests,-14246738000.0
Net Income Including Noncontrolling Interests,354613146000.0
Net Income Extraordinary,0.0
Net Income Continuous Operations,354613146000.0
Tax Provision,117934400000.0
Pretax Income,354613146000.0
Special Income Charges,542579000.0
Other Special Charges,-542579000.0
Gain On Sale Of Security,-2504473000.0
Depreciation Amortization Depletion Income Statement,15145592000.0
Depreciation And Amortization In Income Statement,15145592000.0
Depreciation Income Statement,15145592000.0
Selling General And Administration,301948279000.0
Selling And Marketing Expense,65407090000.0
General And Administrative Expense,236541189000.0
Other Gand A,10188362000.0
Insurance And Claims,68215530000.0
Rent And Landing Fees,15846567000.0
Salaries And Wages,152479092000.0
Total Revenue,1355811552000.0
Operating Revenue,1355811552000.0
Occupancy And Equipment,34644161000.0
Professional Expense And Contract Services Expense,2020560000.0
Other Non Interest Expense,470631640000.0
