metric,value
Ordinary Shares Number,779054472.0
Share Issued,779054472.0
Net Debt,
Total Debt,537035526000.0
Tangible Book Value,648356868000.0
Invested Capital,1185392394000.0
Net Tangible Assets,648356868000.0
Common Stock Equity,648356868000.0
Total Capitalization,1185392394000.0
Total Equity Gross Minority Interest,648356868000.0
Stockholders Equity,648356868000.0
Other Equity Interest,1428682000.0
Fixed Assets Revaluation Reserve,2897154000.0
Retained Earnings,300202383000.0
Additional Paid In Capital,188382590000.0
Capital Stock,7790545000.0
Common Stock,7790545000.0
Total Liabilities Net Minority Interest,4892714290000.0
Long Term Debt And Capital Lease Obligation,537035526000.0
Payables,39605854000.0
Other Payable,13398605000.0
Accounts Payable,26207249000.0
Total Assets,5541071158000.0
Investments And Advances,1140708196000.0
Investmentin Financial Assets,1140671943000.0
Available For Sale Securities,88854291000.0
Long Term Equity Investment,36253000.0
Investmentsin Associatesat Cost,36253000.0
Investmentsin Subsidiariesat Cost,0.0
Net PPE,24963581000.0
Accumulated Depreciation,-33100451000.0
Gross PPE,58064032000.0
Construction In Progress,1876150000.0
Other Properties,47467350000.0
Properties,8720532000.0
Prepaid Assets,24277329000.0
Receivables,167580769000.0
Taxes Receivable,
Cash And Cash Equivalents,649801649000.0
Cash Equivalents,30203555000.0
Cash Financial,12951843000.0
Cash Cash Equivalents And Federal Funds Sold,649801649000.0
