metric,value
Free Cash Flow,-176547383000.0
Repayment Of Debt,-14899000000.0
Issuance Of Debt,900771000.0
Issuance Of Capital Stock,2446603000.0
Capital Expenditure,-7300089000.0
End Cash Position,369074033000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,567767615000.0
Effect Of Exchange Rate Changes,81807000.0
Changes In Cash,-198775389000.0
Financing Cash Flow,-22415378000.0
Net Other Financing Charges,-14899000000.0
Cash Dividends Paid,-10863752000.0
Common Stock Dividend Paid,-10863752000.0
Net Common Stock Issuance,2446603000.0
Common Stock Issuance,2446603000.0
Net Issuance Payments Of Debt,900771000.0
Net Long Term Debt Issuance,900771000.0
Long Term Debt Payments,-14899000000.0
Long Term Debt Issuance,900771000.0
Investing Cash Flow,-7112717000.0
Dividends Received Cfi,
Net PPE Purchase And Sale,-7112717000.0
Sale Of PPE,187372000.0
Purchase Of PPE,-7300089000.0
Operating Cash Flow,-169247294000.0
Taxes Refund Paid,-31710885000.0
Change In Working Capital,-304372170000.0
Change In Other Current Liabilities,19887352000.0
Change In Other Current Assets,726733000.0
Other Non Cash Items,3909213000.0
Stock Based Compensation,591900000.0
Provisionand Write Offof Assets,33354132000.0
Depreciation And Amortization,4630397000.0
Depreciation,4630397000.0
Gain Loss On Sale Of PPE,31382000.0
Net Income From Continuing Operations,119791975000.0
