metric,value
Tax Effect Of Unusual Items,-7864914.461749
Tax Rate For Calcs,0.250619
Total Unusual Items,-31382000.0
Total Unusual Items Excluding Goodwill,-31382000.0
Net Income From Continuing Operation Net Minority Interest,89773000000.0
Reconciled Depreciation,4630397000.0
Net Interest Income,206159194000.0
Interest Expense,251322943000.0
Interest Income,457482137000.0
Normalized Income,89796517085.53825
Net Income From Continuing And Discontinued Operation,89773000000.0
Diluted Average Shares,778385308.0
Basic Average Shares,776986325.0
Diluted EPS,115.33
Basic EPS,115.54
Diluted NI Availto Com Stockholders,89773000000.0
Net Income Common Stockholders,89773000000.0
Net Income,89773000000.0
Net Income Including Noncontrolling Interests,89772929000.0
Net Income Extraordinary,0.0
Net Income Continuous Operations,89772929000.0
Tax Provision,30022100000.0
Pretax Income,119792000000.0
Special Income Charges,-31382000.0
Other Special Charges,31382000.0
Gain On Sale Of Security,5054908000.0
Operating Expense,143992733000.0
Other Operating Expenses,70150201000.0
Depreciation And Amortization In Income Statement,4630397000.0
Depreciation Income Statement,4630397000.0
Selling General And Administration,2337128000.0
Selling And Marketing Expense,1597355000.0
General And Administrative Expense,739773000.0
Insurance And Claims,5628917000.0
Rent And Landing Fees,7440399000.0
Total Revenue,294653778000.0
Operating Revenue,294653778000.0
