metric,value
Tax Effect Of Unusual Items,15877106.04559
Tax Rate For Calcs,0.264618
Normalized EBITDA,4469000000.0
Total Unusual Items,60000000.0
Total Unusual Items Excluding Goodwill,60000000.0
Net Income From Continuing Operation Net Minority Interest,2963000000.0
Reconciled Depreciation,466000000.0
Reconciled Cost Of Revenue,10996000000.0
EBITDA,4529000000.0
EBIT,4063000000.0
Net Interest Income,194000000.0
Interest Expense,27000000.0
Interest Income,221000000.0
Normalized Income,2918877106.04559
Net Income From Continuing And Discontinued Operation,2963000000.0
Total Expenses,12556000000.0
Rent Expense Supplemental,9000000.0
Total Operating Income As Reported,3755000000.0
Diluted Average Shares,4218525134.0
Basic Average Shares,4209546724.0
Diluted EPS,0.7
Basic EPS,0.7
Diluted NI Availto Com Stockholders,2963000000.0
Net Income Common Stockholders,2963000000.0
Net Income,2963000000.0
Minority Interests,-5000000.0
Net Income Including Noncontrolling Interests,2968000000.0
Net Income Continuous Operations,2968000000.0
Tax Provision,1068000000.0
Pretax Income,4036000000.0
Other Income Expense,87000000.0
Other Non Operating Income Expenses,27000000.0
Special Income Charges,-23000000.0
Gain On Sale Of Business,
Write Off,23000000.0
Impairment Of Capital Assets,
Gain On Sale Of Security,60000000.0
Net Non Operating Interest Income Expense,194000000.0
Interest Expense Non Operating,27000000.0
Interest Income Non Operating,221000000.0
Operating Income,3755000000.0
Operating Expense,1560000000.0
Other Operating Expenses,110000000.0
Other Taxes,35000000.0
Selling General And Administration,1560000000.0
Selling And Marketing Expense,692000000.0
General And Administrative Expense,868000000.0
Other Gand A,868000000.0
Insurance And Claims,22000000.0
Rent And Landing Fees,6000000.0
Salaries And Wages,873000000.0
Gross Profit,5315000000.0
Cost Of Revenue,10996000000.0
Total Revenue,16311000000.0
Operating Revenue,16311000000.0
