metric,value
Free Cash Flow,339710600000.0
Repayment Of Debt,-173363700000.0
Issuance Of Debt,13492600000.0
Capital Expenditure,-371753500000.0
End Cash Position,12465900000.0
Beginning Cash Position,9963500000.0
Changes In Cash,2502400000.0
Financing Cash Flow,-393846400000.0
Interest Paid Cff,-77688600000.0
Cash Dividends Paid,-109725800000.0
Common Stock Dividend Paid,-109725800000.0
Net Issuance Payments Of Debt,-178302900000.0
Net Short Term Debt Issuance,-18431800000.0
Net Long Term Debt Issuance,-159871100000.0
Long Term Debt Payments,-173363700000.0
Long Term Debt Issuance,13492600000.0
Investing Cash Flow,-315115300000.0
Net Other Investing Changes,17200000.0
Interest Received Cfi,20935200000.0
Dividends Received Cfi,18270300000.0
Net Investment Purchase And Sale,12594100000.0
Sale Of Investment,51185100000.0
Purchase Of Investment,-38591000000.0
Net PPE Purchase And Sale,-45237100000.0
Sale Of PPE,4821400000.0
Purchase Of PPE,-50058500000.0
Capital Expenditure Reported,-321695000000.0
Operating Cash Flow,711464100000.0
Taxes Refund Paid,-119049800000.0
Change In Working Capital,62562300000.0
Change In Payable,65656900000.0
Change In Inventory,-3122800000.0
Change In Receivables,28200000.0
Other Non Cash Items,51120100000.0
Provisionand Write Offof Assets,1090200000.0
Depreciation And Amortization,158661100000.0
Amortization Cash Flow,2626700000.0
Depreciation,156034400000.0
Pension And Employee Benefit Expense,-433000000.0
Gain Loss On Investment Securities,-14026600000.0
Net Foreign Currency Exchange Gain Loss,11415500000.0
Net Income From Continuing Operations,572877900000.0
