metric,value
Tax Effect Of Unusual Items,-2628186021.0
Tax Rate For Calcs,0.22167
Normalized EBITDA,360515700000.0
Total Unusual Items,-11856300000.0
Total Unusual Items Excluding Goodwill,-11856300000.0
Net Income From Continuing Operation Net Minority Interest,97921200000.0
Reconciled Depreciation,131810500000.0
Reconciled Cost Of Revenue,7714975500000.0
EBITDA,348659400000.0
EBIT,216848900000.0
Net Interest Income,-41716100000.0
Interest Expense,66472000000.0
Interest Income,23785100000.0
Normalized Income,107149313979.0
Net Income From Continuing And Discontinued Operation,97921200000.0
Total Expenses,8016337700000.0
Rent Expense Supplemental,10347400000.0
Diluted Average Shares,13771560699.0
Basic Average Shares,13771560699.0
Diluted EPS,7.11
Basic EPS,7.11
Diluted NI Availto Com Stockholders,97921200000.0
Net Income Common Stockholders,97921200000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,97921200000.0
Minority Interests,-19121400000.0
Net Income Including Noncontrolling Interests,117042600000.0
Net Income Continuous Operations,117042600000.0
Tax Provision,33334300000.0
Pretax Income,150376900000.0
Other Non Operating Income Expenses,296500000.0
Special Income Charges,-4528000000.0
Other Special Charges,
Write Off,4528000000.0
Net Non Operating Interest Income Expense,-41716100000.0
Total Other Finance Cost,-970800000.0
Interest Expense Non Operating,66472000000.0
Interest Income Non Operating,23785100000.0
Operating Income,259135600000.0
Operating Expense,301362200000.0
Other Operating Expenses,158594700000.0
Selling General And Administration,180268400000.0
Selling And Marketing Expense,173968700000.0
General And Administrative Expense,6299700000.0
Rent And Landing Fees,10347400000.0
Gross Profit,560497800000.0
Cost Of Revenue,7714975500000.0
Total Revenue,8275473300000.0
Operating Revenue,8275473300000.0
