metric,value
Free Cash Flow,153483400000.0
Repayment Of Debt,-540200000.0
Issuance Of Debt,895000000.0
Issuance Of Capital Stock,7973300000.0
Capital Expenditure,-22787000000.0
End Cash Position,6223800000.0
Other Cash Adjustment Outside Changein Cash,-1680200000.0
Beginning Cash Position,5965800000.0
Changes In Cash,1938200000.0
Financing Cash Flow,-170374000000.0
Net Other Financing Charges,275400000.0
Interest Paid Cff,-500100000.0
Cash Dividends Paid,-177822200000.0
Common Stock Dividend Paid,-177822200000.0
Net Common Stock Issuance,7973300000.0
Common Stock Issuance,7973300000.0
Net Issuance Payments Of Debt,354800000.0
Net Short Term Debt Issuance,370000000.0
Short Term Debt Payments,-525000000.0
Short Term Debt Issuance,895000000.0
Net Long Term Debt Issuance,-15200000.0
Long Term Debt Payments,-15200000.0
Investing Cash Flow,-3958200000.0
Net Other Investing Changes,
Interest Received Cfi,10722800000.0
Dividends Received Cfi,376700000.0
Net Investment Purchase And Sale,9116200000.0
Sale Of Investment,747417100000.0
Purchase Of Investment,-738300900000.0
Net Business Purchase And Sale,-3104400000.0
Sale Of Business,
Purchase Of Business,-3104400000.0
Net PPE Purchase And Sale,-21032800000.0
Sale Of PPE,1754200000.0
Purchase Of PPE,-22787000000.0
Operating Cash Flow,176270400000.0
Taxes Refund Paid,-63502000000.0
Change In Working Capital,-27420000000.0
Change In Payable,12561800000.0
Change In Inventory,-29753800000.0
Change In Receivables,-10228000000.0
Other Non Cash Items,-14604500000.0
Stock Based Compensation,1337900000.0
Provisionand Write Offof Assets,19500000.0
Depreciation And Amortization,19505800000.0
Depreciation,19505800000.0
Gain Loss On Investment Securities,-9089800000.0
Net Foreign Currency Exchange Gain Loss,67800000.0
Gain Loss On Sale Of PPE,-1356900000.0
Gain Loss On Sale Of Business,-155831200000.0
Net Income From Continuing Operations,425815900000.0
