metric,value
Tax Effect Of Unusual Items,2621516589.519641
Tax Rate For Calcs,0.255895
Normalized EBITDA,278981300000.0
Total Unusual Items,10244500000.0
Total Unusual Items Excluding Goodwill,10244500000.0
Net Income From Continuing Operation Net Minority Interest,197306200000.0
Reconciled Depreciation,19505800000.0
Reconciled Cost Of Revenue,323761000000.0
EBITDA,289225800000.0
EBIT,269720000000.0
Net Interest Income,14437000000.0
Interest Expense,450600000.0
Interest Income,14887600000.0
Normalized Income,189683216589.51965
Net Income From Continuing And Discontinued Operation,347466300000.0
Total Expenses,504601900000.0
Rent Expense Supplemental,3072000000.0
Diluted Average Shares,12521042519.0
Basic Average Shares,12502378226.0
Diluted EPS,27.75
Basic EPS,27.79
Diluted NI Availto Com Stockholders,347466300000.0
Net Income Common Stockholders,347466300000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,347466300000.0
Minority Interests,-3058500000.0
Net Income Including Noncontrolling Interests,350524800000.0
Net Income Discontinuous Operations,150160100000.0
Net Income Continuous Operations,200364700000.0
Tax Provision,68904700000.0
Pretax Income,269269400000.0
Other Non Operating Income Expenses,1512100000.0
Special Income Charges,1308900000.0
Other Special Charges,-1387600000.0
Write Off,78700000.0
Net Non Operating Interest Income Expense,14437000000.0
Total Other Finance Cost,
Interest Expense Non Operating,450600000.0
Interest Income Non Operating,14887600000.0
Operating Income,241931300000.0
Operating Expense,180840900000.0
Other Operating Expenses,64015100000.0
Depreciation And Amortization In Income Statement,16463200000.0
Depreciation Income Statement,16463200000.0
Research And Development,
Selling General And Administration,42293000000.0
Selling And Marketing Expense,33169400000.0
General And Administrative Expense,9123600000.0
Rent And Landing Fees,3072000000.0
Gross Profit,422772200000.0
Cost Of Revenue,323761000000.0
Total Revenue,746533200000.0
Operating Revenue,746533200000.0
