metric,value
Tax Effect Of Unusual Items,-1793176000.0
Tax Rate For Calcs,0.3124
Normalized EBITDA,228230000000.0
Total Unusual Items,-5740000000.0
Total Unusual Items Excluding Goodwill,-5740000000.0
Net Income From Continuing Operation Net Minority Interest,35040000000.0
Reconciled Depreciation,93090000000.0
Reconciled Cost Of Revenue,1076940000000.0
EBITDA,222490000000.0
EBIT,129400000000.0
Net Interest Income,-75830000000.0
Interest Expense,78630000000.0
Interest Income,5500000000.0
Normalized Income,38986824000.0
Net Income From Continuing And Discontinued Operation,35040000000.0
Total Expenses,1524170000000.0
Rent Expense Supplemental,1280000000.0
Diluted Average Shares,2445453966.0
Basic Average Shares,2438615295.0
Diluted EPS,14.32
Basic EPS,14.36
Diluted NI Availto Com Stockholders,35040000000.0
Net Income Common Stockholders,35040000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,35040000000.0
Minority Interests,130000000.0
Net Income Including Noncontrolling Interests,34910000000.0
Net Income Continuous Operations,34910000000.0
Tax Provision,15860000000.0
Pretax Income,50770000000.0
Other Non Operating Income Expenses,730000000.0
Special Income Charges,-6210000000.0
Other Special Charges,6210000000.0
Restructuring And Mergern Acquisition,1470000000.0
Net Non Operating Interest Income Expense,-75830000000.0
Total Other Finance Cost,2700000000.0
Interest Expense Non Operating,78630000000.0
Interest Income Non Operating,5500000000.0
Operating Income,141580000000.0
Operating Expense,447230000000.0
Other Operating Expenses,234480000000.0
Depreciation And Amortization In Income Statement,93090000000.0
Amortization,2230000000.0
Depreciation Income Statement,90860000000.0
Selling General And Administration,92890000000.0
Selling And Marketing Expense,88590000000.0
General And Administrative Expense,4300000000.0
Rent And Landing Fees,1280000000.0
Gross Profit,588810000000.0
Cost Of Revenue,1076940000000.0
Total Revenue,1665750000000.0
Operating Revenue,1665750000000.0
