metric,value
Treasury Shares Number,
Preferred Shares Number,1000000000.0
Ordinary Shares Number,9923308800.0
Share Issued,9923308800.0
Net Debt,2297807000.0
Total Debt,551598651000.0
Tangible Book Value,958515830000.0
Invested Capital,1518252011000.0
Net Tangible Assets,963515830000.0
Common Stock Equity,966653360000.0
Preferred Stock Equity,5000000000.0
Total Capitalization,1523252011000.0
Total Equity Gross Minority Interest,971653360000.0
Stockholders Equity,971653360000.0
Other Equity Interest,313063000.0
Retained Earnings,524804324000.0
Additional Paid In Capital,250658455000.0
Capital Stock,14923309000.0
Common Stock,9923309000.0
Preferred Stock,5000000000.0
Total Liabilities Net Minority Interest,4493325718000.0
Derivative Product Liabilities,
Long Term Debt And Capital Lease Obligation,551598651000.0
Payables,42114629000.0
Other Payable,33086059000.0
Accounts Payable,9028570000.0
Total Assets,5464979078000.0
Investments And Advances,1645294067000.0
Investmentin Financial Assets,1631473130000.0
Available For Sale Securities,82643757000.0
Long Term Equity Investment,13820937000.0
Investments In Other Ventures Under Equity Method,745762000.0
Investmentsin Associatesat Cost,13075175000.0
Investmentsin Subsidiariesat Cost,
Goodwill And Other Intangible Assets,8137530000.0
Goodwill,8137530000.0
Net PPE,19096314000.0
Accumulated Depreciation,-31505096000.0
Gross PPE,50601410000.0
Other Properties,39283135000.0
Properties,11318275000.0
Prepaid Assets,206426000.0
Receivables,114087479000.0
Cash And Cash Equivalents,582386903000.0
Cash Equivalents,0.0
Cash Financial,17640231000.0
Cash Cash Equivalents And Federal Funds Sold,582386903000.0
