metric,value
Tax Effect Of Unusual Items,111288697.100674
Tax Rate For Calcs,0.242964
Total Unusual Items,458046000.0
Total Unusual Items Excluding Goodwill,458046000.0
Net Income From Continuing Operation Net Minority Interest,221259890000.0
Reconciled Depreciation,9409087000.0
Net Interest Income,373942743000.0
Interest Expense,282745509000.0
Interest Income,656688252000.0
Normalized Income,220913132697.10068
Net Income From Continuing And Discontinued Operation,221259890000.0
Diluted Average Shares,9940692575.0
Basic Average Shares,9940484350.0
Diluted EPS,22.258
Basic EPS,22.258
Diluted NI Availto Com Stockholders,221259900000.0
Net Income Common Stockholders,221259900000.0
Otherunder Preferred Stock Dividend,-10000.0
Preferred Stock Dividends,
Net Income,221259890000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,221259863000.0
Net Income Extraordinary,0.0
Net Income Continuous Operations,221259863000.0
Tax Provision,70432900000.0
Pretax Income,289890249000.0
Special Income Charges,458046000.0
Other Special Charges,-458046000.0
Gain On Sale Of Security,83636157000.0
Operating Expense,440277810000.0
Other Operating Expenses,181125918000.0
Depreciation And Amortization In Income Statement,9409087000.0
Depreciation Income Statement,9409087000.0
Selling General And Administration,27701303000.0
Selling And Marketing Expense,15481815000.0
General And Administrative Expense,12219488000.0
Insurance And Claims,90214162000.0
Rent And Landing Fees,12027226000.0
Total Revenue,762853099000.0
Operating Revenue,762853099000.0
