metric,value
Free Cash Flow,47418800000.0
Repurchase Of Capital Stock,0.0
Repayment Of Debt,-307824100000.0
Issuance Of Debt,464970100000.0
Issuance Of Capital Stock,93200000.0
Capital Expenditure,-44188300000.0
End Cash Position,121870000000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,119585000000.0
Effect Of Exchange Rate Changes,286800000.0
Changes In Cash,1998200000.0
Financing Cash Flow,65566200000.0
Net Other Financing Charges,-11459400000.0
Interest Paid Cff,-36094900000.0
Cash Dividends Paid,-38495700000.0
Common Stock Dividend Paid,
Net Common Stock Issuance,93200000.0
Common Stock Payments,0.0
Common Stock Issuance,93200000.0
Net Issuance Payments Of Debt,157146000000.0
Net Long Term Debt Issuance,157146000000.0
Long Term Debt Payments,-307824100000.0
Long Term Debt Issuance,464970100000.0
Investing Cash Flow,-155175100000.0
Net Other Investing Changes,-71490300000.0
Interest Received Cfi,20835100000.0
Dividends Received Cfi,1443200000.0
Net Investment Purchase And Sale,-137103200000.0
Sale Of Investment,17263300000.0
Purchase Of Investment,-154366500000.0
Net Business Purchase And Sale,-3645900000.0
Sale Of Business,17818200000.0
Purchase Of Business,-21464100000.0
Net PPE Purchase And Sale,-35406600000.0
Sale Of PPE,8781700000.0
Purchase Of PPE,-44188300000.0
Operating Cash Flow,91607100000.0
Taxes Refund Paid,-56011000000.0
Change In Working Capital,-120639500000.0
Change In Payable,96834100000.0
Change In Inventory,-5395200000.0
Change In Receivables,-212078400000.0
Other Non Cash Items,8592500000.0
Stock Based Compensation,2226000000.0
Depreciation And Amortization,40982200000.0
Amortization Cash Flow,9242400000.0
Depreciation,31739800000.0
Gain Loss On Investment Securities,-11016500000.0
Net Foreign Currency Exchange Gain Loss,-45500000.0
Gain Loss On Sale Of PPE,-1876400000.0
Gain Loss On Sale Of Business,-1874400000.0
Net Income From Continuing Operations,231040100000.0
