metric,value
Tax Effect Of Unusual Items,-2732274738.060087
Tax Rate For Calcs,0.241135
Normalized EBITDA,288614100000.0
Total Unusual Items,-11330900000.0
Total Unusual Items Excluding Goodwill,-11330900000.0
Net Income From Continuing Operation Net Minority Interest,130591100000.0
Reconciled Depreciation,36747000000.0
Reconciled Cost Of Revenue,1462123800000.0
EBITDA,277283200000.0
EBIT,240536200000.0
Net Interest Income,-13408600000.0
Interest Expense,35365100000.0
Interest Income,24470700000.0
Normalized Income,139189725261.9399
Net Income From Continuing And Discontinued Operation,130591100000.0
Total Expenses,1973846100000.0
Rent Expense Supplemental,60582800000.0
Diluted Average Shares,1391050903.0
Basic Average Shares,1389817026.0
Diluted EPS,93.88
Basic EPS,93.96
Diluted NI Availto Com Stockholders,130591100000.0
Net Income Common Stockholders,130591100000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,130591100000.0
Minority Interests,-24879900000.0
Net Income Including Noncontrolling Interests,155471000000.0
Net Income Extraordinary,-226200000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,155471000000.0
Tax Provision,49473900000.0
Pretax Income,205171100000.0
Other Non Operating Income Expenses,8670500000.0
Special Income Charges,-14584800000.0
Other Special Charges,-6788500000.0
Write Off,21297000000.0
Impairment Of Capital Assets,76300000.0
Net Non Operating Interest Income Expense,-13408600000.0
Total Other Finance Cost,2514200000.0
Interest Expense Non Operating,35365100000.0
Interest Income Non Operating,24470700000.0
Operating Income,217310800000.0
Operating Expense,511722300000.0
Other Operating Expenses,21790800000.0
Depreciation And Amortization In Income Statement,36747000000.0
Amortization,8839500000.0
Depreciation Income Statement,27907500000.0
Selling General And Administration,52585400000.0
Selling And Marketing Expense,4256900000.0
General And Administrative Expense,48328500000.0
Rent And Landing Fees,3338900000.0
Gross Profit,729033100000.0
Cost Of Revenue,1462123800000.0
Total Revenue,2191156900000.0
Operating Revenue,2191156900000.0
