metric,value
Free Cash Flow,-16188000000.0
Capital Expenditure,-34593000000.0
End Cash Position,351000000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,408000000.0
Changes In Cash,-57000000.0
Financing Cash Flow,-16070000000.0
Interest Paid Cff,-1298000000.0
Cash Dividends Paid,-13594000000.0
Common Stock Dividend Paid,-13594000000.0
Net Issuance Payments Of Debt,-1097000000.0
Net Short Term Debt Issuance,
Investing Cash Flow,-2392000000.0
Interest Received Cfi,1745000000.0
Dividends Received Cfi,29000000.0
Net Investment Purchase And Sale,30526000000.0
Sale Of Investment,665824000000.0
Purchase Of Investment,-635298000000.0
Net Business Purchase And Sale,-1459000000.0
Purchase Of Business,-1459000000.0
Net Intangibles Purchase And Sale,-2530000000.0
Purchase Of Intangibles,-2530000000.0
Net PPE Purchase And Sale,-30703000000.0
Sale Of PPE,1360000000.0
Purchase Of PPE,-32063000000.0
Operating Cash Flow,18405000000.0
Taxes Refund Paid,-11783000000.0
Dividend Received Cfo,
Change In Working Capital,-28131000000.0
Change In Other Current Liabilities,6136000000.0
Change In Other Current Assets,-19342000000.0
Change In Payable,-3959000000.0
Change In Inventory,-4833000000.0
Change In Receivables,-7715000000.0
Other Non Cash Items,-481000000.0
Depreciation And Amortization,27890000000.0
Amortization Cash Flow,1608000000.0
Depreciation,26282000000.0
Gain Loss On Investment Securities,-15700000000.0
Net Foreign Currency Exchange Gain Loss,309000000.0
Gain Loss On Sale Of PPE,458000000.0
Net Income From Continuing Operations,46972000000.0
