metric,value
Tax Effect Of Unusual Items,2648316039.342587
Tax Rate For Calcs,0.174082
Normalized EBITDA,60915000000.0
Total Unusual Items,15213000000.0
Total Unusual Items Excluding Goodwill,15213000000.0
Net Income From Continuing Operation Net Minority Interest,38795000000.0
Reconciled Depreciation,27890000000.0
Reconciled Cost Of Revenue,694313000000.0
EBITDA,76128000000.0
EBIT,48238000000.0
Net Interest Income,481000000.0
Interest Expense,1266000000.0
Interest Income,1747000000.0
Normalized Income,26230316039.342587
Net Income From Continuing And Discontinued Operation,38795000000.0
Total Expenses,821865000000.0
Rent Expense Supplemental,17472000000.0
Diluted Average Shares,302080060.0
Basic Average Shares,302080060.0
Diluted EPS,128.43
Basic EPS,128.43
Diluted NI Availto Com Stockholders,38795000000.0
Net Income Common Stockholders,38795000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,38795000000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,38795000000.0
Net Income Continuous Operations,38795000000.0
Tax Provision,8177000000.0
Pretax Income,46972000000.0
Other Non Operating Income Expenses,437000000.0
Special Income Charges,-458000000.0
Other Special Charges,458000000.0
Net Non Operating Interest Income Expense,481000000.0
Total Other Finance Cost,569000000.0
Interest Expense Non Operating,1266000000.0
Interest Income Non Operating,1747000000.0
Operating Income,29823000000.0
Operating Expense,127552000000.0
Other Operating Expenses,31441000000.0
Depreciation And Amortization In Income Statement,27890000000.0
Amortization,1608000000.0
Depreciation Income Statement,26282000000.0
Selling General And Administration,41408000000.0
Selling And Marketing Expense,40878000000.0
General And Administrative Expense,530000000.0
Rent And Landing Fees,17472000000.0
Gross Profit,157375000000.0
Cost Of Revenue,694313000000.0
Total Revenue,851688000000.0
Operating Revenue,851688000000.0
