metric,value
Free Cash Flow,-133785900000.0
Repayment Of Debt,-375722900000.0
Issuance Of Debt,556224100000.0
Issuance Of Capital Stock,4005300000.0
Capital Expenditure,-63045700000.0
End Cash Position,34934100000.0
Other Cash Adjustment Outside Changein Cash,-3528700000.0
Beginning Cash Position,34875900000.0
Effect Of Exchange Rate Changes,338600000.0
Changes In Cash,3248300000.0
Financing Cash Flow,159461100000.0
Net Other Financing Charges,-139400000.0
Interest Paid Cff,-7344000000.0
Cash Dividends Paid,-12847500000.0
Net Preferred Stock Issuance,4000000000.0
Preferred Stock Issuance,4000000000.0
Net Common Stock Issuance,5300000.0
Common Stock Issuance,5300000.0
Net Issuance Payments Of Debt,185668300000.0
Net Short Term Debt Issuance,5167100000.0
Net Long Term Debt Issuance,180501200000.0
Long Term Debt Payments,-375722900000.0
Long Term Debt Issuance,556224100000.0
Investing Cash Flow,-85472600000.0
Net Other Investing Changes,708900000.0
Interest Received Cfi,4636700000.0
Dividends Received Cfi,13966900000.0
Net Investment Purchase And Sale,-54332200000.0
Sale Of Investment,570242500000.0
Purchase Of Investment,-624574700000.0
Net Business Purchase And Sale,12145800000.0
Sale Of Business,18632100000.0
Purchase Of Business,-6486300000.0
Net PPE Purchase And Sale,-61667900000.0
Sale Of PPE,1377800000.0
Purchase Of PPE,-63045700000.0
Operating Cash Flow,-70740200000.0
Taxes Refund Paid,-27748700000.0
Change In Working Capital,-199410400000.0
Change In Payable,70126000000.0
Change In Inventory,-52519600000.0
Change In Receivables,-217016800000.0
Other Non Cash Items,7500700000.0
Stock Based Compensation,1397500000.0
Depreciation And Amortization,43287000000.0
Amortization Cash Flow,13232600000.0
Depreciation,30054400000.0
Gain Loss On Investment Securities,-9152000000.0
Net Foreign Currency Exchange Gain Loss,596200000.0
Gain Loss On Sale Of PPE,-148900000.0
Gain Loss On Sale Of Business,-395400000.0
Net Income From Continuing Operations,113052700000.0
