metric,value
Tax Effect Of Unusual Items,3087072039.362087
Tax Rate For Calcs,0.191018
Normalized EBITDA,223501700000.0
Total Unusual Items,17382500000.0
Total Unusual Items Excluding Goodwill,16161200000.0
Net Income From Continuing Operation Net Minority Interest,102815000000.0
Reconciled Depreciation,43287000000.0
Reconciled Cost Of Revenue,746456100000.0
EBITDA,240884200000.0
EBIT,197597200000.0
Net Interest Income,-53074300000.0
Interest Expense,56994900000.0
Interest Income,5222700000.0
Normalized Income,90962172039.36209
Net Income From Continuing And Discontinued Operation,102815000000.0
Total Expenses,1030517700000.0
Rent Expense Supplemental,3238200000.0
Diluted Average Shares,1117314010.0
Basic Average Shares,1112619910.0
Diluted EPS,91.96
Basic EPS,92.41
Diluted NI Availto Com Stockholders,102743400000.0
Average Dilution Earnings,-71600000.0
Net Income Common Stockholders,102815000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,102815000000.0
Minority Interests,-10929800000.0
Net Income Including Noncontrolling Interests,113744800000.0
Net Income Discontinuous Operations,
Net Income Continuous Operations,113744800000.0
Tax Provision,26857500000.0
Pretax Income,140602300000.0
Other Non Operating Income Expenses,2517500000.0
Special Income Charges,11893900000.0
Other Special Charges,-29515200000.0
Write Off,6282300000.0
Impairment Of Capital Assets,10117700000.0
Net Non Operating Interest Income Expense,-53074300000.0
Total Other Finance Cost,1302100000.0
Interest Expense Non Operating,56994900000.0
Interest Income Non Operating,5222700000.0
Operating Income,159886100000.0
Operating Expense,284061600000.0
Other Operating Expenses,87257700000.0
Depreciation And Amortization In Income Statement,43287000000.0
Amortization,13232600000.0
Depreciation Income Statement,30054400000.0
Selling General And Administration,75780900000.0
Selling And Marketing Expense,65598600000.0
General And Administrative Expense,10182300000.0
Rent And Landing Fees,3238200000.0
Gross Profit,443947700000.0
Cost Of Revenue,746456100000.0
Total Revenue,1190403800000.0
Operating Revenue,1190403800000.0
