metric,value
Ordinary Shares Number,1928314320.0
Share Issued,1928314320.0
Net Debt,
Total Debt,2705200000.0
Tangible Book Value,24591700000.0
Invested Capital,24892000000.0
Working Capital,4104000000.0
Net Tangible Assets,24591700000.0
Capital Lease Obligations,2404900000.0
Common Stock Equity,24591700000.0
Total Capitalization,24858300000.0
Total Equity Gross Minority Interest,24591700000.0
Stockholders Equity,24591700000.0
Other Equity Interest,23627500000.0
Retained Earnings,15144300000.0
Capital Stock,964200000.0
Common Stock,964200000.0
Total Liabilities Net Minority Interest,65195700000.0
Total Non Current Liabilities Net Minority Interest,34398200000.0
Other Non Current Liabilities,173500000.0
Non Current Pension And Other Postretirement Benefit Plans,32051600000.0
Non Current Deferred Revenue,173500000.0
Non Current Deferred Taxes Liabilities,0.0
Long Term Debt And Capital Lease Obligation,2173100000.0
Long Term Capital Lease Obligation,1906500000.0
Long Term Debt,266600000.0
Long Term Provisions,32051600000.0
Current Liabilities,30797500000.0
Other Current Liabilities,1169100000.0
Current Debt And Capital Lease Obligation,532100000.0
Current Capital Lease Obligation,498400000.0
Current Debt,33700000.0
Pensionand Other Post Retirement Benefit Plans Current,3934100000.0
Current Provisions,1607000000.0
Payables,23915800000.0
Other Payable,4057500000.0
Dividends Payable,190000000.0
Total Tax Payable,330200000.0
Accounts Payable,19338100000.0
Total Assets,89787400000.0
Total Non Current Assets,54885900000.0
Other Non Current Assets,1280000000.0
Non Current Prepaid Assets,483300000.0
Non Current Deferred Taxes Assets,256100000.0
Other Investments,12338800000.0
Investmentin Financial Assets,5601900000.0
Held To Maturity Securities,5601900000.0
Available For Sale Securities,5601900000.0
Long Term Equity Investment,
Investmentsin Associatesat Cost,
Net PPE,34835800000.0
Accumulated Depreciation,-24303000000.0
Gross PPE,59138800000.0
Construction In Progress,4398800000.0
Other Properties,211100000.0
Machinery Furniture Equipment,37791200000.0
Buildings And Improvements,15322000000.0
Land And Improvements,1415700000.0
Properties,0.0
Current Assets,34901500000.0
Other Current Assets,15500000.0
Hedging Assets Current,29800000.0
Assets Held For Sale Current,0.0
Restricted Cash,190000000.0
Prepaid Assets,545600000.0
Inventory,19287700000.0
Other Inventories,943200000.0
Finished Goods,8436800000.0
Work In Process,2322800000.0
Raw Materials,7584900000.0
Other Receivables,624700000.0
Taxes Receivable,0.0
Accounts Receivable,1918900000.0
Allowance For Doubtful Accounts Receivable,-73400000.0
Gross Accounts Receivable,1992300000.0
Cash Cash Equivalents And Short Term Investments,12304800000.0
Other Short Term Investments,3039300000.0
Cash And Cash Equivalents,9265500000.0
Cash Financial,9265500000.0
