metric,value
Free Cash Flow,91525900000.0
Repurchase Of Capital Stock,
Repayment Of Debt,-291134200000.0
Issuance Of Debt,354670700000.0
Issuance Of Capital Stock,90273500000.0
Capital Expenditure,-412833600000.0
End Cash Position,14265600000.0
Beginning Cash Position,8633400000.0
Effect Of Exchange Rate Changes,
Changes In Cash,5632200000.0
Financing Cash Flow,-40730000000.0
Net Other Financing Charges,13500000.0
Interest Paid Cff,-178735400000.0
Cash Dividends Paid,-82065400000.0
Net Common Stock Issuance,90273500000.0
Common Stock Payments,
Common Stock Issuance,90273500000.0
Net Issuance Payments Of Debt,131184100000.0
Net Short Term Debt Issuance,67647600000.0
Short Term Debt Payments,
Net Long Term Debt Issuance,63536500000.0
Long Term Debt Payments,-291134200000.0
Long Term Debt Issuance,354670700000.0
Investing Cash Flow,-457997300000.0
Net Other Investing Changes,1331500000.0
Interest Received Cfi,7677000000.0
Dividends Received Cfi,98000000.0
Net Investment Purchase And Sale,-39154500000.0
Sale Of Investment,500000000.0
Purchase Of Investment,-39654500000.0
Net Business Purchase And Sale,-17898900000.0
Sale Of Business,
Purchase Of Business,-17898900000.0
Net PPE Purchase And Sale,-410050400000.0
Sale Of PPE,2783200000.0
Purchase Of PPE,-412833600000.0
Operating Cash Flow,504359500000.0
Taxes Refund Paid,-43142200000.0
Change In Working Capital,-20216100000.0
Change In Payable,22049400000.0
Change In Inventory,6768800000.0
Change In Receivables,-49034300000.0
Other Non Cash Items,111062000000.0
Provisionand Write Offof Assets,2673300000.0
Deferred Tax,7926700000.0
Depreciation And Amortization,174011900000.0
Depreciation,174011900000.0
Gain Loss On Investment Securities,-111500000.0
Net Foreign Currency Exchange Gain Loss,7497900000.0
Gain Loss On Sale Of PPE,1830500000.0
Gain Loss On Sale Of Business,
Net Income From Continuing Operations,284964100000.0
