metric,value
Tax Effect Of Unusual Items,-8979593516.574131
Tax Rate For Calcs,0.088685
Normalized EBITDA,949118430000.0
Total Unusual Items,-101253190000.0
Total Unusual Items Excluding Goodwill,-101253190000.0
Net Income From Continuing Operation Net Minority Interest,455221060000.0
Reconciled Depreciation,260189910000.0
Reconciled Cost Of Revenue,3771863620000.0
EBITDA,847865240000.0
EBIT,587675330000.0
Net Interest Income,-22103580000.0
Interest Expense,46764310000.0
Interest Income,10214780000.0
Normalized Income,547494656483.42584
Net Income From Continuing And Discontinued Operation,455221060000.0
Total Expenses,4282591470000.0
Diluted Average Shares,12580280000.0
Basic Average Shares,12580280000.0
Diluted EPS,36.19
Basic EPS,36.19
Diluted NI Availto Com Stockholders,455221060000.0
Net Income Common Stockholders,455221060000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,455221060000.0
Minority Interests,-37719510000.0
Net Income Including Noncontrolling Interests,492940570000.0
Net Income Continuous Operations,492940570000.0
Tax Provision,47970450000.0
Pretax Income,540911020000.0
Other Non Operating Income Expenses,28063320000.0
Special Income Charges,-102274250000.0
Other Special Charges,5868190000.0
Write Off,7860030000.0
Impairment Of Capital Assets,88546030000.0
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-22103580000.0
Total Other Finance Cost,-14445950000.0
Interest Expense Non Operating,46764310000.0
Interest Income Non Operating,10214780000.0
Operating Income,610419150000.0
Operating Expense,510727850000.0
Other Operating Expenses,305877370000.0
Research And Development,5133080000.0
Selling General And Administration,137766940000.0
Selling And Marketing Expense,94321080000.0
General And Administrative Expense,43445860000.0
Gross Profit,1121147000000.0
Cost Of Revenue,3771863620000.0
Total Revenue,4893010620000.0
Operating Revenue,4893010620000.0
